Selected_characteristic,Lost_job_or_change_in_employme,Change_in_marital_status_or_de,Ineligible_due_to_age_or_left_,Employer_didn_t_offer_or_insur,Cost1,Medicaid_stopped1,Other1
"Hispanic or Latino origin4 and race: ""White  single race""",26.6 (1.33),3.4 (0.40),8.1 (0.75),10.1 (0.80),39.8 (1.59),13.4 (1.02),11.7 (1.53)
"Hispanic or Latino origin4 and race: ""Black or African American  single race""",23.9 (2.38),1.8 (0.56),10.0 (1.37),9.0 (1.28),38.8 (2.45),14.7 (1.72),11.5 (1.49)
Education5: Less than a high school diploma,13.3 (1.26),0.9 (0.26),2.1 (0.48),12.0 (1.19),52.4 (2.10),14.7 (1.32),13.6 (1.32)
Education5: High school diploma or GED6,23.1 (1.35),2.7 (0.45),4.7 (0.70),10.9 (1.01),48.7 (1.67),12.3 (1.10),8.5 (0.94)
Education5: Some college,25.3 (1.46),3.1 (0.56),8.1 (1.02),11.7 (1.11),44.5 (1.90),12.3 (1.16),7.0 (0.89)
Education5: Bachelor's degree or higher,26.3 (2.11),3.2 (0.87),6.6 (1.13),11.3 (1.52),45.5 (2.45),7.0 (1.24),14.0 (1.86)
"Family income7: ""Less than $35 000""",18.4 (1.19),2.2 (0.36),7.4 (0.61),10.8 (0.91),41.9 (1.56),17.2 (1.15),12.7 (1.05)
"Family income7: ""$35 000 or more""",23.1 (1.32),2.2 (0.31),7.9 (0.71),10.4 (0.90),44.1 (1.59),12.7 (1.03),10.7 (1.06)
"Family income7: ""$35 000–$49 999""",18.7 (2.02),2.2 (0.56),7.1 (1.15),10.7 (1.53),45.4 (2.69),15.1 (2.28),10.6 (1.63)
"Family income7: ""$50 000–$74 999""",23.1 (2.73),1.9 (0.51),5.8 (1.06),9.0 (1.27),47.7 (2.83),14.4 (1.79),10.0 (1.78)
"Family income7: ""$75 000–$99 999""",30.6 (3.29),3.6 (0.99),10.5 (1.74),12.7 (2.37),36.9 (3.30),8.8 (2.11),9.0 (2.34)
"Family income7: ""$100 000 or more""",24.0 (2.86),1.5 (0.57),10.4 (2.19),10.6 (2.22),42.0 (3.71),9.1 (1.97),13.6 (2.91)
Poverty status8: Poor,15.2 (1.72),1.8 (0.42),7.3 (0.88),8.6 (1.31),37.8 (2.15),20.4 (1.89),16.0 (1.99)
Poverty status8: Near poor,18.6 (1.50),2.0 (0.38),6.9 (0.81),10.6 (0.95),46.5 (1.98),16.7 (1.44),11.5 (1.22)
Poverty status8: Not poor,24.8 (1.35),2.5 (0.36),8.0 (0.72),11.9 (1.01),44.2 (1.64),10.3 (0.88),9.8 (1.05)
Place of residence9: Large MSA,17.6 (0.98),1.9 (0.31),6.8 (0.64),10.6 (0.80),46.1 (1.44),14.8 (1.03),13.7 (1.10)
Place of residence9: Small MSA,21.8 (1.70),2.4 (0.38),8.2 (0.78),10.0 (1.11),42.2 (1.99),14.6 (1.27),10.9 (1.49)
Place of residence9: Not in MSA,24.7 (2.57),2.5 (0.56),8.2 (1.49),9.2 (1.32),39.6 (3.36),14.4 (1.70),10.5 (2.22)
Region: Northeast,19.2 (3.26),1.9 (0.67),6.0 (1.53),9.8 (1.59),29.7 (3.05),15.0 (2.83),27.3 (3.72)
Region: Midwest,26.2 (2.07),2.3 (0.48),6.8 (0.93),9.9 (1.02),37.8 (2.16),14.0 (1.52),13.6 (2.28)
Region: South,18.6 (1.05),2.0 (0.31),8.7 (0.74),10.5 (0.89),48.5 (1.57),13.4 (0.93),9.6 (0.89)
Region: West,17.8 (1.76),2.4 (0.54),5.6 (0.84),10.1 (1.29),45.1 (2.31),18.6 (1.89),10.8 (1.47)
