Selected_characteristic,All_adults_aged_18_and_over,Inactive_with_respect_to_aerob,Insufficiently_active_with_res,Sufficiently_active_met_aerobi,All_adults_aged_18_and_over_1,Did_not_meet_full_guidelines_f,Met_full_muscle_strengthening_,Met_full_aerobic_activity_guid,Met_full_guidelines_for_both_a
Education5: Less than a high school diploma,100,49.2 (1.42),20.2 (1.06),30.6 (1.25),100,65.4 (1.29),4.0 (0.47),22.8 (1.09),7.8 (0.66)
Education5: High school diploma or GED6,100,39.2 (0.89),21.3 (0.65),39.5 (0.82),100,57.1 (0.83),3.6 (0.30),27.0 (0.72),12.3 (0.54)
Education5: Some college,100,26.4 (0.73),22.6 (0.64),50.9 (0.78),100,45.2 (0.77),4.0 (0.26),30.0 (0.68),20.9 (0.63)
Education5: Bachelor's degree or higher,100,15.1 (0.54),19.7 (0.53),65.2 (0.67),100,31.6 (0.66),3.2 (0.22),33.9 (0.62),31.3 (0.65)
Current employment status7: Employed,100,21.3 (0.52),20.6 (0.41),58.1 (0.56),100,38.6 (0.55),3.4 (0.19),31.8 (0.48),26.1 (0.46)
Current employment status7: Full-time,100,21.5 (0.57),20.2 (0.46),58.3 (0.60),100,38.3 (0.59),3.4 (0.21),32.3 (0.53),26.0 (0.50)
Current employment status7: Part-time,100,20.4 (1.01),22.5 (1.05),57.1 (1.23),100,39.8 (1.22),3.3 (0.43),30.1 (1.07),26.8 (1.10)
Current employment status7: Not employed but has worked previously,100,36.5 (0.72),20.8 (0.50),42.7 (0.71),100,53.3 (0.73),4.1 (0.24),26.7 (0.60),15.9 (0.50)
Current employment status7: Not employed and has never worked ,100,43.6 (1.95),17.6 (1.42),38.8 (1.89),100,58.2 (1.92),3.0 (0.62),27.6 (1.71),11.2 (1.17)
"Family income8: ""Less than $35 000""",100,38.9 (0.85),20.5 (0.57),40.6 (0.76),100,55.5 (0.79),3.9 (0.25),26.1 (0.60),14.4 (0.50)
"Family income8: ""$35 000 or more""",100,21.5 (0.52),20.6 (0.41),57.9 (0.54),100,38.7 (0.54),3.5 (0.18),31.9 (0.47),26.0 (0.46)
"Family income8: ""$35 000–$49 999""",100,31.7 (1.18),21.2 (0.98),47.1 (1.19),100,49.0 (1.22),3.9 (0.42),28.8 (1.04),18.2 (0.95)
"Family income8: ""$50 000–$74 999""",100,26.0 (0.91),22.3 (0.85),51.7 (1.03),100,44.6 (1.00),3.8 (0.39),29.8 (0.90),21.7 (0.82)
"Family income8: ""$75 000–$99 999""",100,21.4 (0.98),19.0 (0.88),59.6 (1.08),100,37.5 (1.08),3.0 (0.42),32.9 (1.04),26.6 (1.00)
"Family income8: ""$100 000 or more""",100,14.7 (0.63),20.0 (0.66),65.3 (0.82),100,31.4 (0.81),3.3 (0.29),33.8 (0.77),31.4 (0.75)
Poverty status9: Poor,100,39.4 (1.30),17.9 (0.79),42.7 (1.22),100,54.1 (1.24),3.4 (0.38),27.2 (0.97),15.4 (0.81)
Poverty status9: Near poor,100,38.5 (1.00),22.0 (0.80),39.5 (0.94),100,56.8 (0.96),3.8 (0.34),25.2 (0.81),14.2 (0.71)
Poverty status9: Not poor,100,22.0 (0.49),20.7 (0.39),57.3 (0.51),100,39.2 (0.51),3.6 (0.17),31.8 (0.45),25.4 (0.43)
Under 65:Private,100,18.8 (0.53),20.2 (0.45),61.0 (0.59),100,35.9 (0.56),3.2 (0.18),32.7 (0.50),28.2 (0.50)
Under 65:Medicaid,100,40.0 (1.25),20.6 (1.01),39.4 (1.28),100,57.2 (1.26),3.3 (0.42),27.4 (1.15),12.0 (0.84)
Under 65:Other coverage,100,33.5 (1.88),22.1 (1.65),44.4 (1.91),100,50.3 (1.94),5.3 (1.08),24.5 (1.65),19.9 (1.41)
Under 65:Uninsured,100,37.0 (1.55),19.2 (1.02),43.8 (1.47),100,53.2 (1.56),3.1 (0.47),27.3 (1.26),16.5 (1.01)
65 and over:Private,100,35.1 (1.08),22.9 (0.92),41.9 (1.10),100,53.5 (1.13),4.5 (0.39),26.9 (0.97),15.1 (0.79)
65 and over:Medicare and Medicaid,100,53.7 (2.56),22.4 (2.12),23.8 (2.20),100,70.7 (2.37),5.5 (1.38),17.5 (1.93),6.3 (1.41)
65 and over:Medicare Advantage,100,37.9 (1.46),21.0 (1.14),41.1 (1.48),100,53.7 (1.58),5.3 (0.65),27.8 (1.29),13.2 (0.97)
65 and over:Medicare only,100,46.6 (1.85),20.6 (1.33),32.8 (1.69),100,63.4 (1.68),3.9 (0.67),22.6 (1.44),10.2 (1.10)
65 and over:Other coverage,100,39.9 (2.43),19.9 (1.88),40.1 (2.48),100,54.2 (2.53),5.7 (1.24),29.4 (2.29),10.7 (1.47)
65 and over:Uninsured,100,,,,100,**81.9 (6.84),,,
Marital status: Married,100,25.4 (0.63),21.4 (0.46),53.2 (0.61),100,43.5 (0.62),3.3 (0.18),31.8 (0.52),21.4 (0.48)
Marital status: Widowed,100,47.7 (1.30),22.0 (1.06),30.3 (1.12),100,64.5 (1.17),5.4 (0.64),21.2 (0.97),8.9 (0.72)
Marital status: Divorced or separated,100,33.6 (0.98),21.3 (0.73),45.0 (0.95),100,50.9 (0.98),4.1 (0.34),26.6 (0.82),18.4 (0.72)
Marital status: Never married,100,25.0 (0.86),18.1 (0.71),57.0 (0.95),100,39.5 (0.94),3.7 (0.33),29.2 (0.79),27.7 (0.81)
Marital status: Living with a partner,100,26.1 (1.30),19.7 (1.27),54.2 (1.52),100,42.3 (1.47),3.5 (0.66),30.3 (1.34),23.8 (1.20)
Place of residence11: Large MSA,100,26.1 (0.57),20.1 (0.44),53.8 (0.61),100,42.6 (0.61),3.7 (0.20),29.9 (0.53),23.9 (0.49)
Place of residence11: Small MSA,100,27.3 (0.98),20.8 (0.59),52.0 (0.87),100,44.5 (0.89),3.7 (0.23),30.0 (0.65),21.9 (0.63)
Place of residence11: Not in MSA,100,34.2 (1.84),21.6 (0.87),44.2 (1.44),100,52.8 (1.51),3.1 (0.30),29.9 (1.04),14.2 (0.85)
Region: Northeast,100,29.2 (1.05),19.8 (0.81),51.0 (1.00),100,45.3 (1.00),3.8 (0.32),28.3 (0.87),22.6 (0.79)
Region: Midwest,100,24.6 (0.96),22.5 (0.72),52.9 (0.98),100,42.8 (0.98),4.3 (0.33),30.5 (0.83),22.4 (0.75)
Region: South,100,31.8 (1.01),20.3 (0.54),47.9 (0.86),100,48.7 (0.90),3.5 (0.24),28.5 (0.63),19.3 (0.61)
Region: West,100,22.8 (0.92),19.7 (0.62),57.5 (0.96),100,39.5 (0.96),3.0 (0.25),32.7 (0.80),24.7 (0.74)
"Hispanic or Latino origin4  race  and sex: ""Hispanic or Latino  male""",100,33.3 (1.79),18.0 (1.22),48.7 (1.79),100,47.8 (1.86),3.7 (0.62),26.3 (1.42),22.1 (1.37)
"Hispanic or Latino origin4  race  and sex: ""Hispanic or Latina  female""",100,36.8 (1.79),19.7 (1.28),43.4 (1.63),100,53.9 (1.67),2.7 (0.47),29.1 (1.41),14.3 (1.13)
"Not Hispanic or Latino:""White  single race  male""",100,23.3 (0.66),18.6 (0.51),58.1 (0.72),100,38.0 (0.70),4.0 (0.26),31.8 (0.61),26.2 (0.61)
"Not Hispanic or Latino:""White  single race  female""",100,25.7 (0.69),23.1 (0.54),51.2 (0.68),100,45.6 (0.69),3.3 (0.20),30.4 (0.57),20.8 (0.55)
"Not Hispanic or Latino:""Black or African American  single race  male""",100,30.5 (1.69),17.5 (1.49),52.0 (1.79),100,44.1 (1.77),3.8 (0.60),21.8 (1.57),30.3 (1.74)
"Not Hispanic or Latino:""Black or African American  single race  female""",100,41.7 (1.51),19.4 (1.16),38.9 (1.48),100,57.6 (1.49),3.7 (0.50),25.2 (1.30),13.4 (1.07)
