Name of Organisation,Eng. Name,Eng. Address,Tel. No,Fax. No,Type of Service,Age of Child,Full Day Creche Approved Monthly Fee,Full Day Nursery Approved Monthly Fee,Half Day Nursery Approved Monthly Fee,AM Session Nursery Approved Monthly Fee,PM Session Nursery Approved Monthly Fee,Type of Half Day Nursery,Remarks,Full Day Creche Capacity,Full Day Nursery Capacity,Half Day Nursery Capacity,District
Braemar Hill Nursery School (North Point) Limited,Braemar Hill Nursery School,"1/F (Portion), Chun Fai Centre, No. 9 Chun Fai Road, Jardine's Lookout, Hong Kong",25787922,25668637,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,10920,0,0,AM & PM Sessions,,0,0,95,E/W
The Hong Kong Buddhist Association,Buddhist Chun Yue Nursery (Tung Chung),"Portion of Kindergarten No. 5, 2/F, Yat Tung Shopping Centre, Tung Chung, New Territories",24322088,21094866,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,3330,PM Session,,0,0,45,CW/S/I
WING TING COMPANY LIMITED,Cannan Nursery (Charming Garden),"Portion of G/F, Kindergarten, Charming Garden, 8 Hoi Ting Road, Mong Kok, Kowloon.",21756002,21756780,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3355,0,0,AM & PM Sessions,,0,0,63,KC/YTM
Blue Riviera Company Limited,Cannan Nursery (Riviera Garden),"Portion of Kindergarten, Podium B, Riviera Garden, 2-12 Yi Hong Street, Tsuen Wan, New Territories",24068111,24079755,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3366,0,8000,AM & PM Sessions,,0,0,75,TW/KwT
Waterloo Company Limited,Cannan Nursery (Waterloo Road),"111 Waterloo Road, Kowloon Tong, Kowloon.",23360006,23360121,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4700,0,0,AM & PM Sessions,,0,0,188,KC/YTM
BHL CORPORATIONS & SERVICE DEVELOPMENT LIMITED,Catiline International Preschool,"G/F, Block 32, City One Shatin, Sha Tin, New Territories",26473678,26476047,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5100,0,0,AM & PM Sessions,,0,0,70,ST
BHL CORPORATIONS & SERVICE DEVELOPMENT LIMITED,Catiline International Preschool (Fanling),"Part of Phase 1, Fanling Centre, G/F, F.L.T.L.5317 D.D.51 Fanling, New Territories",26824600,26830687,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4500,0,0,AM & PM Sessions,,0,0,28,TP/N
BHL CORPORATIONS & SERVICE DEVELOPMENT LIMITED,Catiline International Preschool (Whampoa),"1st Floor Podium (Portion), Willow Court, Site 3, Whampoa Garden, Hung Hom, Kowloon",23331188,23030937,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7300,5050,0,0,AM & PM Sessions,,0,8,16,KC/YTM
WAY SUCCESS ENTERPRISES LIMITED,Causeway Bay Victoria Nursery (Harbour Heights),"Portion of G/F & 1/F,  Tower 1, Ko Fung Court, Harbour Heights, 1,3 and 5 Fook Yum Road, North Point, Hong Kong",25717888,25108421,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,11995,0,0,AM & PM Sessions,,0,0,124,E/W
Causeway Bay Kai-Fong Welfare Advancement Association,Causeway Bay Victoria International Nursery,"G/F-1/F, 32-36 Hing Fat Street, Causeway Bay, Hong Kong",25789998,28879680,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,9077,0,0,AM & PM Sessions,,0,0,165,E/W
Chai Wan Baptist Church,Chai Wan Baptist Church Pre-school Education Bradbury Child Care Centre,"Portion of 1/F, 4/F Flat Roof, 30 Fei Tsui Road, Chai Wan, Hong Kong.",25580199,25585699,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4904,0,2800,0,AM Session,,0,17,11,E/W
Sunway Association Limited,Cherish Child Care Centre (Sai Wan),"Shop KG01 East Terrace, Sai Wan Estate, Kennedy Town, Hong Kong",28550080,28174702,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5921,4471,0,0,AM & PM Sessions,,0,28,42,CW/S/I
Choice English School and Kindergarten Limited,Choice Nursery,"Portion of 1/F, Block 1, Tsing Yi Garden, Tsing Yi, New Territories",24955595,24357948,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5280,0,0,AM & PM Sessions,,0,0,42,TW/KwT
Fairview Park Alliance Church Limited,Christian & Missionary Alliance Fairview Park Nursery School,"1/F (Portion), Block D & E, Town Centre, Fairview Park, Yuen Long, New Territories",24716461,24711612,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4685,3085,0,0,AM & PM Sessions,,0,21,36,YL
Christian Adrianne Educational Organisation Limited,Christian Adrianne Nursery,"530-590 Castle Peak Road, Mezzanine Floor (Portion), Block 1, Phase 1, Belvedere Garden, Tsuen Wan, N.T.",24981200,24993266,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6574,4279,0,0,AM & PM Sessions,,0,10,36,TW/KwT
Christian Adrianne Educational Organisation Limited,Christian Adrianne Nursery (Bayview),"Lower Ground Floor Two (LG2), Bayview Garden, 633 Castle Peak Road, Tsuen Wan, N.T. (Portion of school on 1st Lower Ground Floor)",24991233,24993266,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5938,3890,0,0,AM & PM Sessions,,0,10,38,TW/KwT
Kowloon Tong Church of the Chinese Christian and Missionary Alliance,Christian Alliance Sau Mau Ping Chen Lee Wing Tsing Nursery,"G/F (Portion), Hiu Tin House (Block A), Hiu Lai Court, Kwun Tong, Kowloon.",29524488,29523922,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3140,0,0,AM & PM Sessions,,0,0,18,KT
Christian Little Angel Kindergarten Limited,Christian Little Angel Nursery (Kam Fung Court),"G/F (Portion), Kam Wai House, Kam Fung Court, Ma On Shan, Sha Tin, New Territories",26406783,26406392,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2312,0,0,AM & PM Sessions,,0,0,14,ST
Christian Little Angel Kindergarten Limited,"Christian Little Angel Nursery, Richland Gardens","Unit C2, G/F (Portion), Block 21-22, Richland Gardens, 80 Wang Kwong Road, Kowloon Bay, Kowloon.",27550198,27958343,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3269,0,0,AM & PM Sessions,,0,0,42,KT
Christian Youth Centre Kindergarten and Nursery Limited,Christian Youth Centre Kindergarten and Nursery,"G/F, 103 Waterloo Road, Kowloon",23370072,23379798,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4105,0,0,AM & PM Sessions,,0,0,48,KC/YTM
Christian Youth Centre Kindergarten and Nursery Limited,Christian Youth Centre Nursery (Yau Tong),"Portion of 3/F, Phase 5, Yau Tong Estate, Kowloon",23489699,23489711,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3900,0,0,AM & PM Sessions,,0,0,40,KT
City Kids Limited,City Kids Preschool and Playgroup,"12, Borrett Road, 2/F, East Wing, Mid-Levels, Hong Kong",25224446,NIL,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,5490,1862,AM & PM Sessions,,0,0,48,CW/S/I
Kind Standard Limited,Clement Nursery,"Shops Nos. G65-70, Ground Floor, Metro Harbour Plaza, Tai Kok Tsui, Kowloon",21529393,38930484,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3980,0,0,AM & PM Sessions,,0,0,80,KC/YTM
Creative Kindergarten Education Foundation Limited,Creative Day Nursery,"Portion of No. 6 Rutland Quadrant, Kowloon Tong, Kowloon.",23361139,23383296,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,10192,7754,0,0,AM & PM Sessions,,0,9,83,KC/YTM
Creative Kindergarten Education Foundation Limited,Creative Day Nursery (Aegean Coast),"Portion of the Kindergarten on 1/F, Aegean Coast, 2 Kwun Tsing Road, TMTL 374, So Kwun Wat, Tuen Mun, N.T.",29495028,29495018,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,4035,PM Session,,0,0,145,TM
Creative Kindergarten Education Foundation Limited,Creative Day Nursery (Castello),"Portion of Kindergarten Premises on Level 5 and Entrance Hall on Level 6, Castello, Siu Lek Yuen, Sha Tin, New Territories.",28822005,31245131,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3208,0,0,AM & PM Sessions,,0,0,55,ST
Creative Kindergarten Education Foundation Limited,Creative Day Nursery (Heng Fa),"Portion of Kindergarten B, 100 Shing Tai Road, Heng Fa Chuen, Hong Kong",25950638,25950633,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7514,4685,0,0,AM & PM Sessions,,0,6,95,E/W
Angela Luk's Education Foundation Limited,Creative Day Nursery (Ma Wan),"8 Pak Lai Road, Ma Wan, New Territories (Portion)",29409228,29409118,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3752,0,0,AM & PM Sessions,,0,0,82,TW/KwT
Creative Kindergarten Education Foundation Limited,Creative Day Nursery (Sceneway Garden),"1/F, Sceneway Garden, Sin Fat Road, Lam Tin, Kowloon",27178811,27179048,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5869,3515,0,0,AM & PM Sessions,,0,10,235,KT
Creative Kindergarten Education Foundation Limited,Creative Day Nursery (Sham Wan Towers),"Portion of Kindergarten - G/F, Sham Wan Towers, No. 3 Ap Lei Chau Drive, Ap Lei Chau, Hong Kong.",28731333,28732277,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6473,4290,0,0,AM & PM Sessions,,0,10,79,CW/S/I
Creative Kindergarten Education Foundation Limited,Creative Day Nursery (Tsing Yi),"Portion of Carpark Level 1 & Podium Entrance Hall, Block 5, Mount Haven, 3 Liu To Road, Tsing Yi, New Territories",29428818,29428777,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3480,0,0,AM & PM Sessions,,0,0,82,TW/KwT
Creative Kindergarten Education Foundation Limited,Creative Day Nursery (Tuen Mun),"Portion of 5A, Ho Hing Circuit, Phase II, Tai Hing Gardens, Tuen Mun, New Territories",24692288,24649254,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-6,0,0,3031,0,0,AM & PM Sessions,,0,0,140,TM
Creativity Pre-school Educational Organisation Limited,Kendall International Nursery (Island East),"Upper G/F (Portion), Ling Pak Mansion, Parkvale, 8 Greig Road, Hong Kong.",25655892,24503363,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4460,0,0,AM & PM Sessions,,0,0,56,E/W
ELEMENTI EDUCATION ORGANIZATION NON-PROFIT MAKING LIMITED,Dawning Views Elementi International Preschool,"Shop No. G22-24 (Portion), G/F, Dawning Views Shopping Plaza, 23 Yat Ming Road, Fanling, New Territories.",22561812,22561390,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5491,3724,0,0,AM & PM Sessions,,0,40,55,TP/N
"(i) LO, Mo Man and (ii) YEUNG, Lai Mei Kathy",Deborah International Play School (Bauhinia Garden),"G/F (Portion), Kindergarten Block, Bauhinia Garden, 11Tong Chun Street, Tseung Kwan O, New Territories.",34034393,34034320,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8579,6350,0,0,AM & PM Sessions,,0,40,72,WTS/SK
"(i) Madam LO Mo-man and (ii) Madam YEUNG Lai-mei, Kathy",Deborah International Play School (Tseung Kwan O),"G/F (Portion), Kindergarten Block, Beverly Garden, 1 Tong Ming Street, Tseung Kwan O, New Territories",22177933,22177920,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8579,6350,0,0,AM & PM Sessions,,0,35,127,WTS/SK
Dibber Education (Hong Kong) Limited,Dibber International Nursery (Whampoa),"Portion of 3/F, Harbourfront Landmark, 11 Wan Hoi Street, Whampoa, Hung Hom, Kowloon",54082900,NIL,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7900,0,0,AM & PM Sessions,,0,0,14,KC/YTM
Stanton Associates Limited,Discovery Mind International Play Centre (Discovery Bay),"Portion of Shop Unit No. 401, Lower Ground Floor, Commercial Area at 2-16 Discovery Bay Road, Coastline Villa, Peninsula Village, Discovery Bay, Hong Kong",29878088,29878089,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7600,0,0,AM & PM Sessions,,0,0,25,CW/S/I
Leading Focus Limited,Discovery Mind International Play Centre (Tung Chung),"G/F, Seaview Crescent, 8 Tung Chung Waterfront Road, Tung Chung, New Territories",29878070,29878069,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7000,0,0,AM & PM Sessions,,0,0,84,CW/S/I
Discovery Montessori School Limited,Discovery Montessori Nursery,"Shop 101, 1/F, 92 Siena Avenue, Discovery Bay, Lantau Island, Hong Kong",29871201,29872899,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,1-3,0,0,8450,0,0,AM & PM Sessions,,0,0,40,CW/S/I
Discovery Montessori School Limited,Discovery Montessori Nursery Central,"3/F, Mandarin Building, 35-43 Bonham Strand, Sheung Wan, Hong Kong",28508006,28508009,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,1-3,0,14288,9380,0,0,AM & PM Sessions,,0,10,46,CW/S/I
Dominic Savio Education Organization Limited,Dominic Savio Nursery (H.K. Island Branch),"Ground Floor, 96-98 Sai Wan Ho Street, Shau Kei Wan, Hong Kong.",25680181,28860083,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4500,0,0,AM & PM Sessions,,0,0,34,E/W
Dominic Savio Education Organization Limited,Dominic Savio Nursery (Olympic Branch),"Room 01-09, G/F, Hoi Wen House, Hoi Fu Court, 2 Hoi Ting Road, Mong Kok West, Kowloon.",26269323,26261800,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,4100,PM Session,,0,0,24,KC/YTM
"The Methodist Church, Hong Kong",Epworth Village Methodist Church Day Nursery,"1/F, 100 Chai Wan Road, Chai Wan, Hong Kong.",25572373,28984460,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2970,0,0,AM & PM Sessions,,0,0,19,E/W
ESF Educational Services Limited,ESF International Child Care Centre (Tung Chung),"Portion of 1/F, Commercial Accommodation, The Visionary, 1 Ying Hong Street, Tung Chung, Lantau Island, New Territories",37423500,25170923,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,12490,0,0,AM & PM Sessions,,0,0,9,CW/S/I
Fairchild Canadian Academy Limited,Fairchild Nursery,"All the shop No. 8 on G/F and portion of 1/F, Kong Chian Tower, 185-185B Connaught Road West, 351-351C Des Voeux Road West, 3-7 Whitty Street, Hong Kong",28032638,28030938,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8800,0,0,AM & PM Sessions,,0,0,24,CW/S/I
Fanling Assembly of God Church Ltd.,Fanling Assembly of God Church Grace Light Child Care Centre,"G/F (Portion), Yin King House, King Shing Court, Fanling, New Territories.",26826933,26826700,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,2750,PM Session,,0,0,28,TP/N
The Hong Kong Taoist Association,Hong Kong Taoist Association Fei Ngan Nursery,"Part of Rooftop, Carpark, Hong Yat Court, Lam Tin, Kowloon",23547003,23547001,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4463,0,3500,0,AM Session,,0,12,12,KT
Mr LAM PO LOY PATRICK,Galilee International Nursery,"Part of G/F & 1/F, Peace Garden, 2 Peace Avenue, Ho Man Tin, Kowloon",23903000,29040300,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5630,0,0,AM & PM Sessions,,0,0,42,KC/YTM
Carmel School Association Limited,Ganeynu,"Level 3, Jewish Community Centre, One Robinson Place, 70 Robinson Road, Mid-Levels, Hong Kong",22497600,36655399,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,7670,0,0,AM & PM Sessions,,0,0,37,CW/S/I
Garden House Ltd.,Garden House Waldorf Pre-School,"7 Silverstrand Beach Road, G/F Silverstrand Shopping Centre, Silverstrand, Sai Kung",23581177,23580077,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,8860,8040,AM & PM Sessions,,0,0,70,WTS/SK
Gigamind Education Foundation Limited,Gigamind Children's House (Kingswood Villas),"G/F(Portion), Block B, Maywood Court, Kingswood Villas, Tin Shui Wai, New Territories.",24469210,24469039,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,3917,0,0,AM & PM Sessions,,0,30,91,YL
Rural Training College Alumni Association Ltd.,Gloria Creative International Nursery,"Portion of Shop Nos. 72, 73, 75, 76, 77 & 79, G/F, Union Plaza, No. 9 Wo Muk Road, Fanling, New Territories",26697339,26697229,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4210,0,0,AM & PM Sessions,,0,0,25,TP/N
Rural Training College Alumni Association Ltd.,Gloria Creative International Nursery (Sheung Shui),"Portion of Unit 23 & 24, G/F, Commercial Complex, Tsui Lai Garden, 9 Fung Nam Road, Sheung Shui, New Territories",26697009,26697229,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4420,0,0,AM & PM Sessions,,0,0,89,TP/N
Good Health Childhood Education Limited,Good Health Child Care Centre (Ma On Shan),"1/F, Saddle Ridge Garden, Saddle Ridge Terrace, Ma On Shan, Shatin",26411717,26404013,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6213,3948,0,0,AM & PM Sessions,,0,100,100,ST
Good Health Childhood Education Limited,Good Health Child Care Centre (Tsing Yi),"Part of 1/F, Serene Garden Commercial Building, 77 Tsing King Road, Tsing Yi, New Territories",24978055,24979007,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4950,0,0,AM & PM Sessions,,0,0,46,TW/KwT
Good Health Education Limited,Good Health Child Care Centre (Tsing Yi South),"Portion of L1 & L2, Shopping Arcade, Block 11 & 12, Mayfair Gardens , 2-16 Sai Shan Road, Tsing Yi, New Territories",24882318,24882797,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8250,5450,0,0,AM & PM Sessions,,0,54,100,TW/KwT
Good Time Education Company Limited,Good Time International Play School (Shatin Plaza),"Level 4, Block C & D, Sha Tin Plaza, Sha Tin, New Territories",26013278,26089026,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,7616,0,4938,4575,AM & PM Sessions,,0,28,116,ST
LKW Children Education Limited,Grace Garden International Nursery (Lei King Wan),"Shops GA12B-14, G/F, 55 Tai Hong Street, Site A, Lei King Wan, Sai Wan Ho, Hong Kong",27029778,NIL,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,6000,4300,AM & PM Sessions,,0,0,48,E/W
