编号 No.,学校名称(中文) School Name (Chinese),学校名称(英文) School Name (English),区域(中文) District (Chinese),区域(英文) District (English)
114,何文田循道卫理杨震幼儿学校,HOMANTIN YANG MEMORIAL METHODIST PRE-SCHOOL,九龙城区,Kowloon City
115,香港浸会大学附属幼稚园,HONG KONG BAPTIST UNIVERSITY - KINDERGARTEN,九龙城区,Kowloon City
116,香港保护儿童会马头涌幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN MA TAU CHUNG NURSERY SCHOOL,九龙城区,Kowloon City
117,香港保护儿童会新航黄埔幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN SIA WHAMPOA NURSERY SCHOOL,九龙城区,Kowloon City
118,香港创价幼稚园,HONG KONG SOKA KINDERGARTEN,九龙城区,Kowloon City
119,九龙迦南中英文幼稚园,KOWLOON CANNAN ANGLO-CHINESE KINDERGARTEN,九龙城区,Kowloon City
120,九龙城浸信会幼稚园,KOWLOON CITY BAPTIST CHURCH KINDERGARTEN,九龙城区,Kowloon City
121,九龙灵粮堂幼儿园,KOWLOON LING LIANG CHURCH DAY NURSERY,九龙城区,Kowloon City
122,九龙灵粮堂幼稚园,KOWLOON LING LIANG CHURCH KINDERGARTEN,九龙城区,Kowloon City
123,九龙妇女福利会幼稚园,KOWLOON WOMEN'S WELFARE CLUB NURSERY SCHOOL,九龙城区,Kowloon City
124,粤南信义会腓力堂马头围幼儿学园,LUTHERAN PHILIP HOUSE MA TAU WAI NURSERY SCHOOL,九龙城区,Kowloon City
125,路德会包美达幼儿园,MARTHA BOSS LUTHERAN DAY NURSERY,九龙城区,Kowloon City
126,美雅幼稚园,MAY NGA KINDERGARTEN,九龙城区,Kowloon City
127,"美雅幼稚园（分校）
（下乡道89号校址）","MAY NGA KINDERGARTEN (BRANCH) 
(LOCATION: 91 RURAL COMMITTEE ROAD)",九龙城区,Kowloon City
128,"美雅幼稚园（分校）
（下乡道91号校址）","MAY NGA KINDERGARTEN (BRANCH) 
(LOCATION: 89 RURAL COMMITTEE ROAD)",九龙城区,Kowloon City
129,美雅幼儿园,MAY NGA NURSERY,九龙城区,Kowloon City
130,保良局陈黎惠莲幼稚园,PO LEUNG KUK CHAN LAI WAI LIN KINDERGARTEN,九龙城区,Kowloon City
131,保良局林丁丽玲幼稚园,PO LEUNG KUK LAM TING LAI LING KINDERGARTEN,九龙城区,Kowloon City
132,保良局李徐松声纪念幼稚园,PO LEUNG KUK LI TSUI CHUNG SING MEMORIAL KINDERGARTEN,九龙城区,Kowloon City
133,保良局吕陈慧贞幼稚园,PO LEUNG KUK LUI CHAN WAI CHING KINDERGARTEN,九龙城区,Kowloon City
134,保良局谭欧阳少芳纪念幼稚园,PO LEUNG KUK TAM AU-YEUNG SIU FONG MEMORIAL KINDERGARTEN,九龙城区,Kowloon City
135,博爱医院任永贤夫人幼稚园,POK OI HOSPITAL MRS YAM WING YIN KINDERGARTEN,九龙城区,Kowloon City
136,香港培道小学,POOI TO PRIMARY SCHOOL,九龙城区,Kowloon City
137,圣公会牧爱幼稚园,S.K.H. GOOD SHEPHERD KINDERGARTEN,九龙城区,Kowloon City
138,圣公会圣三一堂曾肇添幼稚园,S.K.H. HOLY TRINITY CHURCH TSANG SHIU TIM KINDERGARTEN,九龙城区,Kowloon City
139,圣马可堂白普理幼稚园,ST. MARK'S CHURCH BRADBURY KINDERGARTEN,九龙城区,Kowloon City
140,圣文嘉幼稚园,ST. MONICA'S KINDERGARTEN,九龙城区,Kowloon City
141,圣罗撒幼稚园,ST. ROSE OF LIMA'S KINDERGARTEN,九龙城区,Kowloon City
142,太阳岛英文幼稚园,SUN ISLAND ENGLISH KINDERGARTEN,九龙城区,Kowloon City
143,太阳岛英文幼稚园（乐民）,SUN ISLAND ENGLISH KINDERGARTEN (LOK MAN),九龙城区,Kowloon City
144,救世军乐民幼儿学校,THE SALVATION ARMY LOK MAN NURSERY SCHOOL,九龙城区,Kowloon City
145,基督教香港崇真会安基幼儿学校,TSUNG TSIN MISSION OF HONG KONG ON KEI NURSERY SCHOOL,九龙城区,Kowloon City
146,东华三院罗黄碧珊幼儿园,TWGHS LO WONG PIK SHAN NURSERY SCHOOL,九龙城区,Kowloon City
147,威廉（睿智）幼稚园（黄埔）,WILLIAM (SMART) KINDERGARTEN (WHAMPOA),九龙城区,Kowloon City
148,港青基信幼稚园（启晴）,YMCA OF HONG KONG CHRISTIAN KINDERGARTEN (KAI CHING),九龙城区,Kowloon City
149,港青基信幼儿学校（农圃道）,YMCA OF HONG KONG CHRISTIAN NURSERY SCHOOL (FARM ROAD),九龙城区,Kowloon City
150,佛教慈慧幼儿园,BUDDHIST CHI WAI DAY NURSERY,观塘区,Kwun Tong
151,佛教金丽幼稚园,BUDDHIST KAM LAI KINDERGARTEN,观塘区,Kwun Tong
152,迦南幼稚园（丽港城）,CANNAN KINDERGARTEN (LAGUNA CITY),观塘区,Kwun Tong
153,明爱鲤鱼门幼儿学校,CARITAS NURSERY SCHOOL - LEI YUE MUN,观塘区,Kwun Tong
154,明爱油塘幼儿学校,CARITAS NURSERY SCHOOL - YAU TONG,观塘区,Kwun Tong
155,路德会陈蒙恩幼稚园,CHAN MUNG YAN LUTHERAN KINDERGARTEN,观塘区,Kwun Tong
156,天主教彩霞邨洁心幼稚园,CHOI HA ESTATE KIT SAM KINDERGARTEN,观塘区,Kwun Tong
157,基督教宣道会安泰幼稚园,CHRISTIAN & MISSIONARY ALLIANCE ON TAI KINDERGARTEN,观塘区,Kwun Tong
158,宣道会秀茂坪陈李咏贞幼稚园,CHRISTIAN ALLIANCE SAU MAU PING CHEN LEE WING TSING KINDERGARTEN,观塘区,Kwun Tong
159,基督教家庭服务中心趣乐幼稚园,CHRISTIAN FAMILY SERVICE CENTRE CHEERLAND KINDERGARTEN,观塘区,Kwun Tong
160,基督教家庭服务中心德田幼稚园,CHRISTIAN FAMILY SERVICE CENTRE TAK TIN KINDERGARTEN,观塘区,Kwun Tong
161,基督教家庭服务中心杨蔡慧娴纪念幼稚园,CHRISTIAN FAMILY SERVICE CENTRE YEOH CHOY WAI HAAN MEMORIAL KINDERGARTEN,观塘区,Kwun Tong
162,基督教小天使（丽晶）幼稚园,CHRISTIAN LITTLE ANGEL KINDERGARTEN RICHLAND GARDENS,观塘区,Kwun Tong
163,基督教小树苗幼稚园,CHRISTIAN LITTLE TREE KINDERGARTEN,观塘区,Kwun Tong
164,基督教中心幼稚园（油塘）,CHRISTIAN YOUTH CENTRE KINDERGARTEN (YAU TONG),观塘区,Kwun Tong
165,中华传道会基石幼稚园,CNEC CHRISTIAN KINDERGARTEN,观塘区,Kwun Tong
166,启思幼儿园（汇景）,CREATIVE DAY NURSERY (SCENEWAY),观塘区,Kwun Tong
167,启思幼稚园（汇景花园）,CREATIVE KINDERGARTEN (SCENEWAY GARDEN),观塘区,Kwun Tong
168,钻石山浸信会美欣幼稚园,DIAMOND HILL BAPTIST CHURCH BRIGHT BLOSSOMS KINDERGARTEN,观塘区,Kwun Tong
169,基督教香港信义会灵安幼儿学校,ELCHK  LING ON NURSERY SCHOOL,观塘区,Kwun Tong
170,花园大厦浸信会幼儿学校,GARDEN ESTATE BAPTIST NURSERY SCHOOL,观塘区,Kwun Tong
171,港澳信义会翠恩幼稚园,HONG KONG AND MACAU LUTHERAN CHURCH TSUI EN KINDERGARTEN,观塘区,Kwun Tong
172,香港基督教服务处观塘幼儿学校,HONG KONG CHRISTIAN SERVICE KWUN TONG NURSERY SCHOOL,观塘区,Kwun Tong
173,香港基督教服务处隽乐幼稚园,HONG KONG CHRISTIAN SERVICE PARIO KINDERGARTEN,观塘区,Kwun Tong
174,香港路德会观塘幼稚园,HONG KONG LUTHERAN CHURCH KWUN TONG KINDERGARTEN,观塘区,Kwun Tong
175,香港保护儿童会谭雅士伉俪幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN MR & MRS THOMAS TAM NURSERY SCHOOL,观塘区,Kwun Tong
176,香港学生辅助会宝达幼儿园,HONG KONG STUDENT AID SOCIETY PO TAT NURSERY,观塘区,Kwun Tong
177,"香港道教联合会蓬瀛通善皇后山幼稚园
（蓝田康逸苑校址）","HONG KONG TAOIST ASSOCIATION FUNG YING TUNG SIN QUEEN'S HILL KINDERGARTEN 
(LOCATION: HONG YAT COURT, LAM TIN)",观塘区,Kwun Tong
178,康盈中英文幼稚园,HONG YING ANGLO-CHINESE KINDERGARTEN,观塘区,Kwun Tong
179,晶晶幼稚园（顺利分校）,JING JING KINDERGARTEN (SHUN LEE BRANCH),观塘区,Kwun Tong
180,官塘浸信会幼稚园,KWUN TONG BAPTIST CHURCH KINDERGARTEN,观塘区,Kwun Tong
181,观塘循道幼稚园,KWUN TONG METHODIST KINDERGARTEN,观塘区,Kwun Tong
182,官塘雅丽斯英文幼稚园,KWUN TONG ST. AGNES ENGLISH KINDERGARTEN,观塘区,Kwun Tong
183,蓝田灵粮幼稚园,LAM TIN LING LIANG KINDERGARTEN,观塘区,Kwun Tong
184,鲤鱼门循道卫理幼稚园,LEI YUE MUN METHODIST KINDERGARTEN,观塘区,Kwun Tong
185,光爱乐幼稚园（安泰）,LIGHT AND LOVE HOME HAPPY KINDERGARTEN (ON TAI),观塘区,Kwun Tong
186,乐善堂文吴泳沂幼稚园,LOK SIN TONG MAN NG WING YEE KINDERGARTEN,观塘区,Kwun Tong
187,粤南信义会腓力堂启业幼儿学园,LUTHERAN PHILIP HOUSE KAI YIP NURSERY SCHOOL,观塘区,Kwun Tong
188,新九龙妇女会乐华幼儿园,NEW KOWLOON WOMEN ASSOCIATION LOK WAH NURSERY,观塘区,Kwun Tong
189,平安福音堂幼稚园（牛头角）,PEACE EVANGELICAL CENTRE KINDERGARTEN (NGAU TAU KOK),观塘区,Kwun Tong
190,坪石英皇幼稚园,PING SHEK KINGSLAND KINDERGARTEN,观塘区,Kwun Tong
191,保良局郑关巧妍幼稚园,PO LEUNG KUK CHENG KWAN HOW YIN KINDERGARTEN,观塘区,Kwun Tong
192,保良局黄树雄幼稚园,PO LEUNG KUK KIM HUYNH KINDERGARTEN,观塘区,Kwun Tong
193,保良局李树福幼稚园,PO LEUNG KUK LEE SHU FOOK KINDERGARTEN,观塘区,Kwun Tong
194,保良局李筱参幼稚园,PO LEUNG KUK LEE SIU CHAN KINDERGARTEN,观塘区,Kwun Tong
195,保良局方王锦全幼稚园,PO LEUNG KUK MRS FONG WONG KAM CHUEN KINDERGARTEN,观塘区,Kwun Tong
196,保良局吴宝玲幼稚园,PO LEUNG KUK NG PO LING KINDERGARTEN,观塘区,Kwun Tong
197,博爱医院陈徐凤兰幼稚园,POK OI HOSPITAL CHAN HSU FONG LAM KINDERGARTEN,观塘区,Kwun Tong
198,博爱医院施淑镇幼稚园,POK OI HOSPITAL SY SIOK CHUN KINDERGARTEN,观塘区,Kwun Tong
199,圣公会慈光堂圣匠幼稚园,S.K.H. KINDLY LIGHT CHURCH HOLY CARPENTER KINDERGARTEN,观塘区,Kwun Tong
200,圣公会慈光堂圣匠幼稚园（分校）,S.K.H. KINDLY LIGHT CHURCH HOLY CARPENTER KINDERGARTEN (BRANCH),观塘区,Kwun Tong
201,路德会沙仑堂幼稚园,SHARON LUTHERAN CHURCH KINDERGARTEN,观塘区,Kwun Tong
202,善一堂安逸幼稚园,SHIN YAT TONG ON YAT KINDERGARTEN,观塘区,Kwun Tong
203,顺德联谊总会梁洁华幼稚园,SHUN TAK FRATERNAL ASSOCIATION LEUNG KIT WAH KINDERGARTEN,观塘区,Kwun Tong
204,礼贤会顺天幼儿园,SHUN TIN RHENISH NURSERY,观塘区,Kwun Tong
205,圣母洁心会福音秀茂坪幼稚园,SISTERS OF THE IMMACULATE HEART OF MARY GOSPEL SAU MAU PING KINDERGARTEN,观塘区,Kwun Tong
206,天主教圣云先幼儿学校,ST VINCENT DE PAUL NURSERY SCHOOL,观塘区,Kwun Tong
207,圣安当幼稚园,ST. ANTONIUS KINDERGARTEN,观塘区,Kwun Tong
208,圣巴拿巴堂幼稚园,ST. BARNABAS' CHURCH KINDERGARTEN,观塘区,Kwun Tong
209,天主教圣雅各伯幼稚园,ST. JAMES CATHOLIC KINDERGARTEN,观塘区,Kwun Tong
210,路德会圣腓力堂幼稚园,ST. PHILIP LUTHERAN CHURCH KINDERGARTEN,观塘区,Kwun Tong
211,德福幼稚园,TELFORD GARDENS KINDERGARTEN,观塘区,Kwun Tong
212,香港小童群益会乐致幼稚园（九龙湾）,THE BOYS' AND GIRLS' CLUBS ASSOCIATION OF HONG KONG CHEERLAND KINDERGARTEN (KOWLOON BAY),观塘区,Kwun Tong
213,中华基督教会基法幼稚园,THE CHURCH OF CHRIST IN CHINA KEI FAAT KINDERGARTEN,观塘区,Kwun Tong
214,中华基督教会基华幼稚园,THE CHURCH OF CHRIST IN CHINA KEI WA KINDERGARTEN,观塘区,Kwun Tong
215,香港青年协会郑坚固幼稚园,THE HONG KONG FEDERATION OF YOUTH GROUPS KK CHENG KINDERGARTEN,观塘区,Kwun Tong
216,救世军中原慈善基金油塘幼稚园,THE SALVATION ARMY CENTALINE CHARITY FUND YAU TONG KINDERGARTEN,观塘区,Kwun Tong
217,救世军平田幼稚园,THE SALVATION ARMY PING TIN KINDERGARTEN,观塘区,Kwun Tong
218,基督教香港崇真会安怡幼儿学校,TSUNG TSIN MISSION OF HONG KONG ON YEE NURSERY SCHOOL,观塘区,Kwun Tong
219,东华三院黄士心幼稚园,TUNG WAH GROUP OF HOSPITALS WONG SEE SUM KINDERGARTEN,观塘区,Kwun Tong
220,东华三院陈娴幼儿园,TWGHS CHAN HAN NURSERY SCHOOL,观塘区,Kwun Tong
221,东华三院何蓝琼缨幼稚园,TWGHS LUCINA LAAM HO KINDERGARTEN,观塘区,Kwun Tong
222,基督教联合医务协会幼儿学校,UNITED CHRISTIAN MEDICAL SERVICE NURSERY SCHOOL,观塘区,Kwun Tong
223,圆玄幼稚园（平田邨）,YUEN YUEN KINDERGARTEN (PING TIN ESTATE),观塘区,Kwun Tong
224,主荫幼稚园,ANANI KINDERGARTEN,葵青区,Kwai Tsing
225,循道卫理联合教会亚斯理幼稚园,ASBURY METHODIST KINDERGARTEN,葵青区,Kwai Tsing
226,路德会长青幼儿园,CHEUNG CHING LUTHERAN DAY NURSERY,葵青区,Kwai Tsing
