《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
C45-C49,间皮组织和软组织恶性肿瘤,3128,0,415,3543,90,98,0,188
C50,乳房恶性肿瘤,44775,0,4136,48911,12,792,0,804
C53,宫颈恶性肿瘤,3435,4,438,3877,0,167,0,167
C54-C55,子宫其他和未特指部位的恶性肿瘤,4199,0,695,4894,0,172,0,172
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,5980,0,775,6755,0,255,0,255
C61,前列腺恶性肿瘤,5653,0,1157,6810,519,0,0,519
"C60, C62-C63",男性生殖器官其他恶性肿瘤,290,0,116,406,15,0,0,15
C67,膀胱恶性肿瘤,4250,0,816,5066,127,72,0,199
"C64-C66, C68",泌尿道其他恶性肿瘤,2523,0,416,2939,168,87,0,255
C69,眼和附器恶性肿瘤,323,0,11,334,3,1,0,4
C71,脑恶性肿瘤,1234,0,194,1428,77,68,0,145
"C70, C72",中枢神经系统其他部位的恶性肿瘤,31,0,25,56,0,2,0,2
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,7071,0,2651,9722,422,362,0,784
C81,霍奇金[何杰金]淋巴瘤,1045,0,104,1149,7,4,0,11
C82-C85,非霍奇金淋巴瘤,12715,0,930,13645,221,174,0,395
C91-C95,白血病,17854,0,379,18233,210,158,0,368
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,14623,0,335,14958,83,65,0,148
D06,宫颈原位癌,170,0,189,359,0,0,0,0
D22-D23,皮肤良性肿瘤,1033,0,364,1397,0,0,0,0
D24,乳房良性肿瘤,69,0,939,1008,0,0,0,0
D25,子宫平滑肌瘤,2898,0,3818,6716,0,2,0,2
D27,卵巢良性肿瘤,217,0,850,1067,0,0,0,0
D30,泌尿器官良性肿瘤,4,0,79,83,0,0,0,0
D33,脑和中枢神经系统其他部位的良性肿瘤,79,0,83,162,0,2,0,2
"D00-D05, D07-D21, D26, D28-D29, D31-D32, D34-D48",其他原位、良性、动态未定或动态未知的肿瘤,25574,0,11770,37344,171,166,0,337
D50,缺铁性贫血,3694,14,306,4014,1,0,0,1
D51-D64,其他贫血,18773,9,1042,19824,30,38,0,68
D65-D77,血液和造血器官的出血性情况及其他疾病,5617,1,331,5949,25,24,0,49
D80-D89,某些涉及免疫机制的疾患,1313,0,47,1360,8,1,0,9
E00-E02,碘缺乏相关性甲状腺疾患,0,0,4,4,0,0,0,0
E05,甲状腺毒症,2941,0,760,3701,1,8,0,9
"E03-E04, E06-E07",甲状腺其他疾患,4301,1,1329,5631,1,5,0,6
E10-E14,糖尿病,9766,257,376,10399,379,282,0,661
E40-E46,营养不良,22,0,7,29,2,0,0,2
E50,维生素A缺乏,0,0,0,0,0,0,0,0
E51-E56,其他维生素缺乏,246,0,8,254,0,0,0,0
E64,营养不良和其他营养缺乏的后遗症,0,0,0,0,0,0,0,0
E66,肥胖,1520,0,17,1537,0,0,0,0
E86,血容量缺失,1593,0,138,1731,3,4,0,7
"E15-E35, E58-E63, E65, E67-E85, E87-E90",其他内分泌、营养和代谢疾患,26787,0,849,27636,52,69,0,121
F00-F03,认知障碍症,4848,38,90,4976,529,1043,0,1572
F10,由于使用酒精引起的精神和行为障碍,1441,44,3,1488,4,0,0,4
F11-F19,使用其他精神活性物质引起的精神和行为障碍,1769,2431,1,4201,0,0,0,0
F20-F29,精神分裂症、分裂型障碍和妄想性障碍,8394,294,5,8693,1,0,0,1
F30-F39,心境[情感]障碍,4726,93,69,4888,0,1,0,1
F40-F48,神经症性、应激相关的以及躯体形式的障碍,4025,2,57,4084,0,0,0,0
F70-F79,精神发育迟滞,1883,3,0,1886,3,3,0,6
"F04-F09, F50-F69, F80-F99",其他精神和行为障碍,3781,146,75,4002,0,3,0,3
G00-G09,中枢神经系统炎性疾病,837,0,80,917,29,14,0,43
G20,帕金森病,1538,0,88,1626,104,66,0,170
G30,阿尔茨海默病,523,0,10,533,14,30,0,44
G35,多发性硬化,224,0,41,265,2,2,0,4
G40-G41,癫痫,2782,108,106,2996,27,16,0,43
G43-G44,偏头痛和其他头痛综合症,354,0,417,771,0,0,0,0
G45,短暂性大脑缺血性发作和相关的综合症,2274,0,230,2504,0,0,0,0
G50-G59,神经、神经根和神经丛疾患,2692,0,809,3501,0,0,0,0
G80-G83,大脑性麻痹[瘫痪]和其他麻痹[瘫痪]综合症,568,0,25,593,9,2,0,11
"G10-G14, G21-G26, G31-G32, G36-G37, G46-G47, G60-G73, G90-G99",神经系统其他疾患,12269,9,2435,14713,143,107,0,250
H00-H01,眼睑炎症,158,0,373,531,0,0,0,0
H10-H13,结膜炎和结膜的其他疾患,955,11,60,1026,0,0,0,0
H15-H19,角膜炎以及巩膜和角膜的其他疾患,539,0,74,613,0,0,0,0
H25-H28,白内障和晶状体的其他疾患,20266,1,3143,23410,0,0,0,0
H33,视网膜脱离及断裂,1032,1,353,1386,0,0,0,0
H40-H42,青光眼,1639,0,185,1824,0,0,0,0
H49-H50,斜视,1062,0,266,1328,0,0,0,0
H52,屈光和调节疾患,23,0,0,23,0,0,0,0
H54,视力损害包括盲(双眼或单眼),47,0,5,52,0,0,0,0
"H02-H06, H20-H22, H30-H32, H34-H36, H43-H48, H51, H53, H55-H59",眼和附器其他疾病,11184,2,1153,12339,0,0,0,0
H65-H75,中耳炎以及中耳和乳突其他疾患,1326,0,383,1709,1,0,0,1
H90-H91,听觉丧失,2211,0,182,2393,0,0,0,0
"H60-H62, H80-H83, H92-H95",中耳和乳突其他疾患,1847,1,1458,3306,0,0,0,0
I00-I02,急性风湿热,3,0,0,3,0,0,0,0
I05-I09,慢性风湿性心脏病,1325,0,52,1377,26,57,0,83
I10,特发性(原发性)高血压,14173,119,1293,15585,148,143,0,291
I11,高血压性心脏病,158,12,24,194,447,367,0,814
I12,高血压性肾脏病,440,0,14,454,27,27,0,54
I13,高血压性心脏和肾脏病,94,0,4,98,10,7,0,17
I15,继发性高血压,657,170,9,836,0,0,0,0
I21-I22,急性心肌梗死,6897,0,251,7148,943,533,0,1476
"I20, I23-I25",其他缺血性心脏病,14296,1,9889,24186,1588,931,0,2519
I26,肺栓塞,794,0,98,892,49,37,0,86
I44-I49,传导疾患和心律失常,15508,2,1930,17440,110,135,0,245
I50,心力衰竭,15916,8,676,16600,444,672,0,1116
"I27-I43, I51-I52",其他心脏病,5435,1,654,6090,257,178,0,435
I60-I62,颅内出血,6806,0,283,7089,768,580,0,1348
I63,脑梗死,8707,0,614,9321,53,46,0,99
I64,中风，未特指为出血或梗死,3154,1,379,3534,470,526,0,996
I65-I69,其他脑血管病,3409,2,450,3861,324,290,0,614
I70,动脉粥样硬化症,467,0,37,504,0,1,0,1
I73,其他周围血管疾病,820,0,48,868,20,31,0,51
I74,动脉栓塞和血栓形成,287,0,10,297,5,4,0,9
I71,主动脉动脉瘤和动脉壁夹层形成,1847,0,73,1920,232,91,0,323
"I72, I77-I79",其他动脉、小动脉和毛细管的其他疾病,1115,0,289,1404,26,11,0,37
I80-I82,静脉炎、血栓静脉炎、静脉栓塞和血栓形成,1319,0,131,1450,13,27,0,40
I83,下肢静脉曲张,2049,0,770,2819,3,0,0,3
I84,痔,6226,0,7804,14030,0,0,0,0
I85-I99,循环系统其他疾病,4724,3,496,5223,1,7,0,8
J02-J03,急性咽炎和急性扁桃体炎,498,6,652,1156,0,0,0,0
J04,急性喉炎和气管炎,20,0,26,46,1,0,0,1
"J00-J01, J05-J06",其他急性上呼吸道感染,2602,322,988,3912,1,1,0,2
J09-J11,流行性感冒,47,48,53,148,0,0,0,0
J12-J18,肺炎,38636,0,1094,39730,5926,4575,0,10501
J20-J21,急性支气管炎和急性细支气管炎,948,0,1372,2320,2,0,0,2
J32,慢性鼻窦炎,333,0,490,823,2,0,0,2
"J30-J31, J33-J34",鼻和鼻窦其他疾病,1606,0,1846,3452,0,0,0,0
J35,扁桃体和腺样体慢性疾病,393,0,374,767,0,0,0,0
J36-J39,上呼吸道其他疾病,2454,51,816,3321,7,9,0,16
J40-J44,支气管炎、肺气肿和其他慢性阻塞性肺病,10450,0,1095,11545,765,104,0,869
J45-J46,哮喘,3757,194,285,4236,32,47,0,79
J47,支气管扩张症,1674,0,219,1893,94,83,0,177
J60-J65,尘肺,50,0,6,56,25,1,0,26
"J22, J66-J99",呼吸系统其他疾病,101284,3519,2237,107040,5848,4193,0,10041
K02,龋(齿),477,81,23,581,0,0,0,0
"K00-K01, K03-K08",牙齿及支持结构的其他疾患,2359,2,196,2557,0,0,0,0
K09-K14,口腔、涎腺和颌的其他疾病,2403,3,649,3055,1,1,0,2
K25-K27,胃和十二指肠溃疡,6416,28,3888,10332,63,33,0,96
K29,胃炎和十二指肠炎,12654,6,32664,45324,3,1,0,4
"K20-K23, K28, K30-K31",食管、胃和十二指肠其他疾病,8058,18,9461,17537,8,7,0,15
K35-K38,阑尾疾病,2521,0,1153,3674,4,6,0,10
K40,腹股沟疝,4449,23,3030,7502,8,4,0,12
K41-K46,其他疝,1807,0,579,2386,5,15,0,20
K50-K51,克罗恩[克隆]病和溃伤性结肠炎,3726,0,516,4242,2,1,0,3
K56,无力性肠梗阻和肠梗阻不伴有疝,3535,0,492,4027,86,73,0,159
K57,肠憩室性疾病,4404,0,1444,5848,3,5,0,8
"K52-K55, K58-K67",肠和腹膜其他疾病,38419,1,12081,50501,179,176,0,355
K70,酒精性肝病,485,0,15,500,63,10,0,73
K73-K74,慢性肝病及肝硬化,720,0,90,810,160,122,0,282
"K71-K72, K75-K76",其他肝病,5246,3,483,5732,82,61,0,143
K80-K81,胆石病和胆囊炎,10525,0,3578,14103,38,40,0,78
K85-K86,急性胰腺炎和胰腺其他疾病,2674,0,320,2994,38,52,0,90
"K82-K83, K87-K93",消化系统其他疾病,9387,6,847,10240,190,190,0,380
L00-L08,皮肤和皮下组织感染,15166,57,2063,17286,23,22,0,45
L10-L99,皮肤和皮下组织其他疾病,15359,48,2953,18360,76,100,0,176
M05-M14,类风湿性关节炎和其他炎性多关节病,8577,213,495,9285,8,16,0,24
M15-M19,关节病,6167,0,4045,10212,0,0,0,0
M20-M21,四肢后天性变形,1113,0,363,1476,0,0,0,0
"M00-M03, M22-M25",其他关节疾患,8751,5,1527,10283,8,10,0,18
M30-M36,全身性结缔组织疾患,4846,0,383,5229,18,60,0,78
M50-M51,颈和其他椎间盘疾患,337,1,1784,2122,0,0,0,0
"M40-M49, M53-M54",其他背部病,20717,34,3761,24512,15,8,0,23
M60-M79,软组织疾患,7095,6,2513,9614,29,19,0,48
M80-M85,骨密度和结构的疾患,2434,53,198,2685,2,5,0,7
M86,骨髓炎,552,0,40,592,10,20,0,30
M87-M99,肌肉骨骼系统和结缔组织其他疾病,1389,0,2239,3628,0,0,0,0
N00-N01,急性肾炎综合症和急进型肾炎综合症,33,0,22,55,0,1,0,1
N02-N08,其他肾小球疾病,1224,0,227,1451,83,81,0,164
N10-N16,肾小管间质疾病,5579,0,1450,7029,25,28,0,53
N17-N19,肾衰竭,184322,26,3982,188330,808,836,0,1644
N20-N23,尿石病,8728,1,5568,14297,2,13,0,15
N25-N27,其他肾脏疾病,161,0,11,172,0,0,0,0
N30,膀胱炎,1935,0,1633,3568,3,1,0,4
"N28-N29, N31-N39",泌尿系统其他疾病,24841,3,2376,27220,332,485,0,817
N40,前列腺增生,5384,0,2465,7849,2,0,0,2
N41-N42,前列腺其他疾患,354,0,511,865,3,0,0,3
N43,水囊肿[睪丸鞘膜积液]和精子囊肿,240,0,140,380,0,0,0,0
N47,包皮过长、包茎和包茎嵌顿,702,0,298,1000,0,0,0,0
"N44-N46, N48-N51",男性生殖器官其他疾病,2617,0,2592,5209,8,0,0,8
N60-N64,乳房疾患,3980,1,2214,6195,0,0,0,0
N70,输卵管炎和卵巢炎,405,0,129,534,0,0,0,0
N72,宫颈炎性疾病,11,0,172,183,0,0,0,0
"N71, N73-N77",女性盆腔器官其他炎性疾病,1567,1,821,2389,0,1,0,1
N80,子宫内膜异位,946,0,746,1692,0,0,0,0
N81,女性生殖器脱垂,901,0,160,1061,0,0,0,0
N83,卵巢、输卵管和阔韧带的非炎性疾患,1862,0,1365,3227,0,0,0,0
N91-N92,月经疾患,2884,1,898,3783,0,0,0,0
N95,绝经期和其他围绝经期的疾患,2429,0,567,2996,0,0,0,0
N97,女性不育症,3803,0,7,3810,0,0,0,0
"N82, N84-N90, N93-N94, N96, N98-N99",泌尿生殖道其他疾患,7108,1,10822,17931,0,0,0,0
O03,自然流产,1777,0,507,2284,0,0,0,0
O04,医疗性流产,202,9,5267,5478,0,0,0,0
"O00-O02, O05-O08",其他流产结局的妊娠,3634,2,738,4374,0,0,0,0
O10-O16,妊娠、分娩和产褥期的水肿、蛋白尿和高血压疾患,1430,0,74,1504,0,0,0,0
O44-O46,前置胎盘、胎盘的过早分离和产前出血,1926,0,78,2004,0,0,0,0
"O30-O43, O47-O48",与胎儿和羊膜腔及可能的分娩问题有关的其他孕产妇医疗,11214,0,1806,13020,0,0,0,0
O64-O66,梗阻性分娩,61,0,18,79,0,0,0,0
O72,产后出血,728,0,43,771,0,0,0,0
"O20-O29, O60-O63, O67-O71, O73-O75, O81-O84",妊娠和分娩的其他并发症,13974,11,7911,21896,0,0,0,0
O80,单胎顺产,5326,1,3082,8409,0,0,0,0
O85-O99,主要与产褥期和其他产科情况有关的并发症，不可归类在他处者,5508,0,57,5565,0,1,0,1
P00-P04,胎儿和新生儿受母体因素和妊娠、产程和分娩并发症的影响,1373,0,4,1377,2,0,0,2
P05-P07,胎儿生长缓慢、胎儿营养不良和与孕期短和低出生体重有关的疾患,1904,0,39,1943,5,7,0,12
P10-P15,产伤,91,0,5,96,0,0,0,0
P20-P21,子宫内低氧症和出生窒息,699,0,0,699,0,1,0,1
P22-P28,起源于围生期的其他呼吸性疾患,1409,0,44,1453,4,0,0,4
P35-P37,先天性传染病和寄生虫病,407,0,11,418,2,0,0,2
P38-P39,特发于围生期的其他感染,274,0,5,279,0,0,0,0
P55,胎儿和新生儿的溶血性疾病,79,0,12,91,0,0,0,0
"P08, P29, P50-P54, P56-P96",起源于围生期的其他情况,9608,0,515,10123,4,4,0,8
Q05,脊柱裂,43,0,40,83,0,0,0,0
"Q00-Q04, Q06-Q07",神经系统其他先天性畸形,176,0,28,204,1,0,0,1
Q20-Q28,循环系统先天性畸形,2650,0,96,2746,8,4,0,12
Q35-Q37,唇裂和颚裂,123,0,26,149,0,0,0,0
Q41,小肠先天性缺如、闭锁和狭窄,10,0,0,10,0,0,0,0
"Q38-Q40, Q42-Q45",消化系统其他先天性畸形,458,0,91,549,2,2,0,4
Q53,睪丸未降,199,0,35,234,0,0,0,0
"Q50-Q52, Q54-Q64",泌尿生殖系统其他畸形,848,0,85,933,4,3,0,7
Q65,髋先天性变形,29,0,4,33,0,0,0,0
Q66,足先天性变形,77,0,7,84,0,0,0,0
Q67-Q79,肌肉骨骼系统其他先天性畸形和变形,660,0,46,706,0,2,0,2
"Q10-Q18, Q30-Q34, Q80-Q89",其他先天性畸形,1526,0,125,1651,3,4,0,7
Q90-Q99,染色体异常，不可归类在他处者,119,0,0,119,5,3,0,8
R10,腹部和盆腔痛,23435,174,2156,25765,0,0,0,0
R50,其他原因和原因不明的发热,14589,30,430,15049,0,0,0,0
R54,衰老,7,41,15,63,841,1171,0,2012
"R00-R09, R11-R49, R51-R53, R55-R99",其他症状、体征和临床与实验室异常所见，不可归类在他处者,136083,2848,11498,150429,267,136,1,404
S02,颅骨和面骨骨折,816,0,234,1050,6,1,0,7
"S12, S22, S32, T08",颈部、胸部或骨盆骨折,3226,0,434,3660,10,10,0,20
S72,股骨骨折,10452,0,617,11069,53,44,0,97
"S42, S52, S62, S82, S92, T10, T12",其他四肢骨的骨折,18229,6,3476,21711,0,2,0,2
T02,累及身体多个部位的骨折,3,0,20,23,1,1,0,2
"S03, S13, S23, S33, S43, S53, S63, S73, S83, S93, T03",特指和身体多个部位的脱位、扭伤和劳损,3077,16,4022,7115,1,0,0,1
S05,眼和眶损伤,166,1,50,217,0,0,0,0
S06,颅内损伤,11484,0,170,11654,128,68,0,196
"S26-S27, S36-S37",其他内部器官损伤,237,0,31,268,38,35,0,73
"S07-S08, S17-S18, S28, S38, S47-S48, S57-S58, S67-S68, S77-S78, S87-S88, S97-S98, T04-T05",特指和身体多个部位的挤压伤和创伤性截断,937,8,54,999,0,0,0,0
"S00-S01, S04, S09-S11, S14-S16, S19-S21, S24-S25, S29-S31, S34-S35, S39-S41, S44-S46, S49-S51, S54-S56, S59-S61, S64-S66, S69-S71, S74-S76, S79-S81, S84-S86, S89-S91, S94-S96, S99, T00-T01, T06-T07, T09, T11, T13-T14",特指、未特指和身体多个部位的其他损伤,17320,101,5821,23242,542,283,0,825
T15-T19,通过自然腔口进入异物的效应,1936,3,405,2344,57,46,0,103
T20-T32,烧伤和腐蚀伤,866,1,60,927,9,3,0,12
T36-T50,药物和生物制品中毒,2146,0,32,2178,74,37,0,111
T51-T65,主要为非药用物质的毒性效应,429,0,14,443,88,36,0,124
T74,虐待综合症,1299,0,0,1299,0,0,0,0
"T33-T35, T66-T73, T75-T78",外因的其他和未特指效应,2006,0,180,2186,206,123,0,329
T79-T88,创伤的某些早期并发症以及手术和医疗并发症，不可归类在他处者,10547,0,423,10970,33,19,0,52
T90-T98,损伤、中毒和外因的其他后果的后遗症,109,0,0,109,4,3,0,7
Z00-Z13,为检查和调查而与保健机构接触的人,45358,1034,1382,47774,0,0,0,0
Z21,无症状的人类免疫缺陷病毒感染状态,6,0,0,6,0,0,0,0
"Z20, Z22-Z29",具有与传染病有关的潜在健康危害的其他人,522,0,11,533,0,0,0,0
Z30,避孕问题,217,0,103,320,0,0,0,0
Z34-Z36,出生前筛选和其他妊娠监督,6077,13,4,6094,0,0,0,0
Z38,按照出生地点划分活产婴儿,8326,0,12470,20796,0,0,0,0
Z39,产后医疗和检查,2,0,3,5,0,0,0,0
Z40-Z54,为特殊操作和卫生保健而与保健机构接触的人,7262,1880,3549,12691,0,0,0,0
"Z31-Z33, Z37, Z55-Z99",为其他原因而与保健机构接触的人,18337,1,1284,19622,0,0,0,0
,诊断不详,2227,0,0,2227,0,0,0,0
,合计,1641002,14747,307420,1963169,34295,27261,1,61557
,,,,,,,,,
注：,,,,,,,,,
由二零零一年起，疾病及死因分类乃根据《疾病和有关健康问题的国际统计分类》(ICD)第十次修订本。二零零一年及以后的数字未必可与以往年份根据ICD第九次修订本所编制的数字互相比较。,,,,,,,,,
疾病类别的中文名称是以北京协和医院世界卫生组织国际分类家族合作中心所编译的疾病名称作为基准。,,,,,,,,,
表内的死亡数字是按指定期间根据香港法例第174章《生死登记条例》登记的死亡人数而编制。,,,,,,,,,
HA = 医院管理局; CI = 惩教署,,,,,,,,,
* 指包括日间住院病人在内的出院人次及死亡人数。不包括在护养院接受治疗的住院病人。,,,,,,,,,
