《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
"N44-N46, N48-N51",男性生殖器官其他疾病,3042,0,3109,6151,8,0,0,8
N60-N64,乳房疾患,4576,2,2663,7241,0,0,0,0
N70,输卵管炎和卵巢炎,615,0,120,735,0,1,0,1
N72,宫颈炎性疾病,11,0,90,101,0,0,0,0
"N71, N73-N77",女性盆腔器官其他炎性疾病,2212,0,1022,3234,0,5,0,5
N80,子宫内膜异位,1230,0,992,2222,0,1,0,1
N81,女性生殖器脱垂,1368,0,168,1536,0,0,0,0
N83,卵巢、输卵管和阔韧带的非炎性疾患,2494,0,1586,4080,0,0,0,0
N91-N92,月经疾患,3444,3,1372,4819,0,0,0,0
N95,绝经期和其他围绝经期的疾患,3531,0,952,4483,0,0,0,0
N97,女性不育症,4436,0,11,4447,0,0,0,0
"N82, N84-N90, N93-N94, N96, N98-N99",泌尿生殖道其他疾患,8262,1,9164,17427,0,0,0,0
O03,自然流产,2978,0,762,3740,0,0,0,0
O04,医疗性流产,735,1,3867,4603,0,0,0,0
"O00-O02, O05-O08",其他流产结局的妊娠,6029,0,1233,7262,0,0,0,0
O10-O16,妊娠、分娩和产褥期的水肿、蛋白尿和高血压疾患,2489,0,76,2565,0,0,0,0
O44-O46,前置胎盘、胎盘的过早分离和产前出血,3558,0,100,3658,0,0,0,0
"O30-O43, O47-O48",与胎儿和羊膜腔及可能的分娩问题有关的其他孕产妇医疗,18015,0,1943,19958,0,0,0,0
O64-O66,梗阻性分娩,114,0,23,137,0,0,0,0
O72,产后出血,1191,0,22,1213,0,0,0,0
"O20-O29, O60-O63, O67-O71, O73-O75, O81-O84",妊娠和分娩的其他并发症,26525,13,11859,38397,0,0,0,0
O80,单胎顺产,10119,2,4444,14565,0,0,0,0
O85-O99,主要与产褥期和其他产科情况有关的并发症，不可归类在他处者,10131,0,113,10244,0,1,0,1
P00-P04,胎儿和新生儿受母体因素和妊娠、产程和分娩并发症的影响,3037,0,78,3115,1,1,0,2
P05-P07,胎儿生长缓慢、胎儿营养不良和与孕期短和低出生体重有关的疾患,3004,0,124,3128,4,5,0,9
P10-P15,产伤,156,0,47,203,0,0,0,0
P20-P21,子宫内低氧症和出生窒息,1495,0,10,1505,0,0,0,0
P22-P28,起源于围生期的其他呼吸性疾患,1698,0,72,1770,4,1,0,5
P35-P37,先天性传染病和寄生虫病,480,0,34,514,4,3,0,7
P38-P39,特发于围生期的其他感染,587,0,6,593,0,0,0,0
P55,胎儿和新生儿的溶血性疾病,169,0,8,177,0,0,0,0
"P08, P29, P50-P54, P56-P96",起源于围生期的其他情况,21297,0,1580,22877,4,10,0,14
Q05,脊柱裂,98,0,2,100,0,0,0,0
"Q00-Q04, Q06-Q07",神经系统其他先天性畸形,220,0,53,273,2,1,0,3
Q20-Q28,循环系统先天性畸形,5026,0,149,5175,16,11,0,27
Q35-Q37,唇裂和颚裂,448,0,41,489,0,0,0,0
Q41,小肠先天性缺如、闭锁和狭窄,7,0,1,8,0,0,0,0
"Q38-Q40, Q42-Q45",消化系统其他先天性畸形,681,0,85,766,2,1,0,3
Q53,睪丸未降,347,0,73,420,0,0,0,0
"Q50-Q52, Q54-Q64",泌尿生殖系统其他畸形,1263,15,143,1421,4,6,0,10
Q65,髋先天性变形,53,0,11,64,0,0,0,0
Q66,足先天性变形,222,0,18,240,0,0,0,0
Q67-Q79,肌肉骨骼系统其他先天性畸形和变形,940,22,73,1035,0,0,0,0
"Q10-Q18, Q30-Q34, Q80-Q89",其他先天性畸形,1902,0,250,2152,7,7,0,14
Q90-Q99,染色体异常，不可归类在他处者,222,0,2,224,9,3,0,12
R10,腹部和盆腔痛,26488,296,3812,30596,0,0,0,0
R50,其他原因和原因不明的发热,15520,118,758,16396,0,0,0,0
R54,衰老,4,26,4,34,500,779,0,1279
"R00-R09, R11-R49, R51-R53, R55-R99",其他症状、体征和临床与实验室异常所见，不可归类在他处者,166152,3267,15166,184585,295,150,1,446
S02,颅骨和面骨骨折,996,0,304,1300,1,1,0,2
"S12, S22, S32, T08",颈部、胸部或骨盆骨折,4384,1,546,4931,11,14,0,25
S72,股骨骨折,11190,0,289,11479,16,37,0,53
"S42, S52, S62, S82, S92, T10, T12",其他四肢骨的骨折,22112,6,3583,25701,1,1,0,2
T02,累及身体多个部位的骨折,15,0,31,46,3,0,0,3
"S03, S13, S23, S33, S43, S53, S63, S73, S83, S93, T03",特指和身体多个部位的脱位、扭伤和劳损,4395,15,4483,8893,0,0,0,0
S05,眼和眶损伤,255,10,120,385,0,0,0,0
S06,颅内损伤,14294,0,171,14465,99,66,0,165
"S26-S27, S36-S37",其他内部器官损伤,259,0,51,310,13,11,0,24
"S07-S08, S17-S18, S28, S38, S47-S48, S57-S58, S67-S68, S77-S78, S87-S88, S97-S98, T04-T05",特指和身体多个部位的挤压伤和创伤性截断,1011,21,68,1100,2,0,0,2
"S00-S01, S04, S09-S11, S14-S16, S19-S21, S24-S25, S29-S31, S34-S35, S39-S41, S44-S46, S49-S51, S54-S56, S59-S61, S64-S66, S69-S71, S74-S76, S79-S81, S84-S86, S89-S91, S94-S96, S99, T00-T01, T06-T07, T09, T11, T13-T14",特指、未特指和身体多个部位的其他损伤,21183,54,9706,30943,475,281,0,756
T15-T19,通过自然腔口进入异物的效应,2472,0,368,2840,76,63,0,139
T20-T32,烧伤和腐蚀伤,1221,0,93,1314,9,4,0,13
T36-T50,药物和生物制品中毒,2575,0,21,2596,109,47,0,156
T51-T65,主要为非药用物质的毒性效应,365,0,22,387,107,48,0,155
T74,虐待综合症,1006,0,0,1006,0,0,0,0
"T33-T35, T66-T73, T75-T78",外因的其他和未特指效应,2388,0,257,2645,213,117,0,330
T79-T88,创伤的某些早期并发症以及手术和医疗并发症，不可归类在他处者,9922,0,444,10366,27,18,0,45
T90-T98,损伤、中毒和外因的其他后果的后遗症,100,0,5,105,0,1,0,1
Z00-Z13,为检查和调查而与保健机构接触的人,55129,964,1182,57275,0,0,0,0
Z21,无症状的人类免疫缺陷病毒感染状态,24,0,0,24,0,0,0,0
"Z20, Z22-Z29",具有与传染病有关的潜在健康危害的其他人,1015,0,12,1027,0,0,0,0
Z30,避孕问题,241,0,96,337,0,0,0,0
Z34-Z36,出生前筛选和其他妊娠监督,10689,9,11,10709,0,0,0,0
Z38,按照出生地点划分活产婴儿,15632,0,15997,31629,0,0,0,0
Z39,产后医疗和检查,6,0,1,7,0,0,0,0
Z40-Z54,为特殊操作和卫生保健而与保健机构接触的人,12269,2165,2277,16711,0,0,0,0
"Z31-Z33, Z37, Z55-Z99",为其他原因而与保健机构接触的人,20660,62,1277,21999,0,0,0,0
,诊断不详,8502,0,0,8502,0,0,0,0
,合计,1827130,14806,375027,2216963,26389,21088,1,47478
,,,,,,,,,
注：,,,,,,,,,
由二零零一年起，疾病及死因分类乃根据《疾病和有关健康问题的国际统计分类》(ICD)第十次修订本。二零零一年及以后的数字未必可与以往年份根据ICD第九次修订本所编制的数字互相比较。,,,,,,,,,
疾病类别的中文名称是以北京协和医院世界卫生组织国际分类家族合作中心所编译的疾病名称作为基准。,,,,,,,,,
HA = 医院管理局; CI = 惩教署,,,,,,,,,
* 指包括日间住院病人在内的出院人次及死亡人数。不包括在护养院接受治疗的住院病人。,,,,,,,,,
