截止日期,公告日期,编号,股东名称,持股数量,占流通股比例,股本性质,symbol
2021-12-31,2022-04-28,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2021-12-31,2022-04-28,9,香港中央结算有限公司,530513464,1.807,境外法人股,600000
2021-12-31,2022-04-28,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2021-09-30,2021-10-30,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2021-09-30,2021-10-30,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2021-09-30,2021-10-30,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2021-09-30,2021-10-30,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2021-09-30,2021-10-30,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2021-09-30,2021-10-30,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2021-09-30,2021-10-30,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2021-09-30,2021-10-30,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2021-09-30,2021-10-30,9,香港中央结算有限公司,499534372,1.702,境外法人股,600000
2021-09-30,2021-10-30,10,中央汇金资产管理有限责任公司,398521409,1.358,国有股,600000
2021-06-30,2021-08-28,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2021-06-30,2021-08-28,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2021-06-30,2021-08-28,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2021-06-30,2021-08-28,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2021-06-30,2021-08-28,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2021-06-30,2021-08-28,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2021-06-30,2021-08-28,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2021-06-30,2021-08-28,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2021-06-30,2021-08-28,9,香港中央结算有限公司,552957894,1.884,境外法人股,600000
2021-06-30,2021-08-28,10,中央汇金资产管理有限责任公司,398521409,1.358,国有股,600000
2021-03-31,2021-04-30,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2021-03-31,2021-04-30,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2021-03-31,2021-04-30,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2021-03-31,2021-04-30,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2021-03-31,2021-04-30,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2021-03-31,2021-04-30,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2021-03-31,2021-04-30,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2021-03-31,2021-04-30,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2021-03-31,2021-04-30,9,香港中央结算有限公司,549541488,1.872,境外法人股,600000
2021-03-31,2021-04-30,10,中央汇金资产管理有限责任公司,398521409,1.358,国有股,600000
2020-12-31,2021-03-27,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2020-12-31,2021-03-27,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2020-12-31,2021-03-27,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2020-12-31,2021-03-27,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2020-12-31,2021-03-27,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2020-12-31,2021-03-27,6,中国证券金融股份有限公司,1307994759,4.456,国有股,600000
2020-12-31,2021-03-27,7,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2020-12-31,2021-03-27,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2020-12-31,2021-03-27,9,香港中央结算有限公司,492055356,1.676,境外法人股,600000
2020-12-31,2021-03-27,10,中央汇金资产管理有限责任公司,398521409,1.358,国有股,600000
2020-09-30,2020-10-31,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2020-09-30,2020-10-31,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2020-09-30,2020-10-31,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2020-09-30,2020-10-31,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2020-09-30,2020-10-31,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2020-09-30,2020-10-31,6,中国证券金融股份有限公司,1307994759,4.456,国有股,600000
2020-09-30,2020-10-31,7,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2020-09-30,2020-10-31,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2020-09-30,2020-10-31,9,香港中央结算有限公司,446131677,1.52,境外法人股,600000
2020-09-30,2020-10-31,10,中央汇金资产管理有限责任公司,398521409,1.358,国有股,600000
2020-06-30,2020-08-29,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2020-06-30,2020-08-29,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2020-06-30,2020-08-29,3,富德生命人寿保险股份有限公司-传统,2779437274,9.89,境内法人股,600000
2020-06-30,2020-08-29,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.274,境内法人股,600000
2020-06-30,2020-08-29,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2020-06-30,2020-08-29,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2020-06-30,2020-08-29,7,富德生命人寿保险股份有限公司-万能H,1270428648,4.52,境内法人股,600000
2020-06-30,2020-08-29,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2020-06-30,2020-08-29,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2020-06-30,2020-08-29,10,香港中央结算有限公司,438230687,1.559,境外法人股,600000
2020-03-31,2020-04-25,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2020-03-31,2020-04-25,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2020-03-31,2020-04-25,3,富德生命人寿保险股份有限公司-传统,2779437274,9.89,境内法人股,600000
2020-03-31,2020-04-25,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.274,境内法人股,600000
2020-03-31,2020-04-25,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2020-03-31,2020-04-25,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2020-03-31,2020-04-25,7,富德生命人寿保险股份有限公司-万能H,1270428648,4.52,境内法人股,600000
2020-03-31,2020-04-25,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2020-03-31,2020-04-25,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2020-03-31,2020-04-25,10,香港中央结算有限公司,424220473,1.509,境外法人股,600000
2019-12-31,2020-04-25,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2019-12-31,2020-04-25,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2019-12-31,2020-04-25,3,富德生命人寿保险股份有限公司-传统,2779437274,9.89,境内法人股,600000
2019-12-31,2020-04-25,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.274,境内法人股,600000
2019-12-31,2020-04-25,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2019-12-31,2020-04-25,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2019-12-31,2020-04-25,7,富德生命人寿保险股份有限公司-万能H,1270428648,4.52,境内法人股,600000
2019-12-31,2020-04-25,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2019-12-31,2020-04-25,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2019-12-31,2020-04-25,10,香港中央结算有限公司,504430091,1.795,境外法人股,600000
2019-09-30,2019-10-30,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2019-09-30,2019-10-30,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2019-09-30,2019-10-30,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2019-09-30,2019-10-30,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2019-09-30,2019-10-30,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2019-09-30,2019-10-30,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2019-09-30,2019-10-30,7,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2019-09-30,2019-10-30,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2019-09-30,2019-10-30,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2019-09-30,2019-10-30,10,香港中央结算有限公司,496384317,1.766,境外法人股,600000
2019-06-30,2019-08-24,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2019-06-30,2019-08-24,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2019-06-30,2019-08-24,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2019-06-30,2019-08-24,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2019-06-30,2019-08-24,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2019-06-30,2019-08-24,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2019-06-30,2019-08-24,7,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2019-06-30,2019-08-24,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2019-06-30,2019-08-24,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2019-06-30,2019-08-24,10,香港中央结算有限公司,440637332,1.568,境外法人股,600000
2019-03-31,,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2019-03-31,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2019-03-31,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2019-03-31,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2019-03-31,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2019-03-31,,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2019-03-31,,7,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2019-03-31,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2019-03-31,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2019-03-31,,10,香港中央结算有限公司,413617792,1.472,境外法人股,600000
2018-12-31,,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2018-12-31,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2018-12-31,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2018-12-31,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2018-12-31,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2018-12-31,,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2018-12-31,,7,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2018-12-31,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2018-12-31,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2018-12-31,,10,中央汇金资产管理有限责任公司,398521409,1.418,国有股,600000
2018-09-30,,1,上海国际集团有限公司,5489319304,19.533,国有股,600000
2018-09-30,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2018-09-30,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2018-09-30,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2018-09-30,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2018-09-30,,6,中国证券金融股份有限公司,1307994759,4.654,国有股,600000
2018-09-30,,7,富德生命人寿保险股份有限公司－万能H,1270428648,4.521,境内法人股,600000
2018-09-30,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2018-09-30,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2018-09-30,,10,中央汇金资产管理有限责任公司,398521409,1.418,国有股,600000
2018-06-30,,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2018-06-30,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2018-06-30,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2018-06-30,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2018-06-30,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2018-06-30,,6,中国证券金融股份有限公司,1283011919,4.565,国有股,600000
2018-06-30,,7,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2018-06-30,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2018-06-30,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2018-06-30,,10,中央汇金资产管理有限责任公司,398521409,1.418,国有股,600000
2018-03-31,,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2018-03-31,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2018-03-31,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2018-03-31,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2018-03-31,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2018-03-31,,6,中国证券金融股份有限公司,1283011919,4.565,国有股,600000
2018-03-31,,7,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2018-03-31,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2018-03-31,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2018-03-31,,10,中央汇金资产管理有限责任公司,398521409,1.418,国有股,600000
2017-12-31,,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2017-12-31,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2017-12-31,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2017-12-31,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2017-12-31,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2017-12-31,,6,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2017-12-31,,7,中国证券金融股份有限公司,1216979451,4.33,国有股,600000
2017-12-31,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2017-12-31,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2017-12-31,,10,中央汇金资产管理有限责任公司,398521409,1.418,国有股,600000
2017-09-30,,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2017-09-30,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2017-09-30,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2017-09-30,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2017-09-30,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2017-09-30,,6,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2017-09-30,,7,中国证券金融股份有限公司,1067679897,3.799,国有股,600000
2017-09-30,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2017-09-30,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2017-09-30,,10,中央汇金资产管理有限责任公司,398521409,1.418,国有股,600000
2017-06-30,,1,上海国际集团有限公司,5489319304,19.532,国有股,600000
2017-06-30,,2,中国移动通信集团广东有限公司,5334892824,18.983,国有股,600000
2017-06-30,,3,富德生命人寿保险股份有限公司－传统,2779437274,9.89,境内法人股,600000
2017-06-30,,4,富德生命人寿保险股份有限公司－资本金,1763232325,6.274,境内法人股,600000
2017-06-30,,5,上海上国投资产管理有限公司,1395571025,4.966,国有股,600000
2017-06-30,,6,富德生命人寿保险股份有限公司－万能H,1270428648,4.52,境内法人股,600000
2017-06-30,,7,中国证券金融股份有限公司,953786574,3.394,国有股,600000
2017-06-30,,8,梧桐树投资平台有限责任公司,886131340,3.153,国有股,600000
2017-06-30,,9,上海国鑫投资发展有限公司,539255859,1.919,国有股,600000
2017-06-30,,10,中央汇金资产管理有限责任公司,398521409,1.418,国有股,600000
2017-03-31,,1,上海国际集团有限公司,4222553311,19.532,国有股,600000
2017-03-31,,2,中国移动通信集团广东有限公司,4103763711,18.983,国有股,600000
2017-03-31,,3,富德生命人寿保险股份有限公司－传统,2138028672,9.89,境内法人股,600000
2017-03-31,,4,富德生命人寿保险股份有限公司－资本金,1356332558,6.274,境内法人股,600000
2017-03-31,,5,上海上国投资产管理有限公司,1073516173,4.966,国有股,600000
2017-03-31,,6,富德生命人寿保险股份有限公司－万能H,977252806,4.52,境内法人股,600000
2017-03-31,,7,梧桐树投资平台有限责任公司,681639492,3.153,国有股,600000
2017-03-31,,8,中国证券金融股份有限公司,644446108,2.981,国有股,600000
2017-03-31,,9,上海国鑫投资发展有限公司,414812199,1.919,国有股,600000
2017-03-31,,10,中央汇金资产管理有限责任公司,306554930,1.418,国有股,600000
2016-12-31,,1,中国移动通信集团广东有限公司,4103763711,20.0,国有股,600000
2016-12-31,,2,上海国际集团有限公司,3473265309,16.927,国有股,600000
2016-12-31,,3,富德生命人寿保险股份有限公司－传统,2138028672,10.42,境内法人股,600000
2016-12-31,,4,富德生命人寿保险股份有限公司－资本金,1356332558,6.61,境内法人股,600000
2016-12-31,,5,上海上国投资产管理有限公司,1073516173,5.232,国有股,600000
2016-12-31,,6,富德生命人寿保险股份有限公司－万能H,977252806,4.763,境内法人股,600000
2016-12-31,,7,梧桐树投资平台有限责任公司,681639492,3.322,国有股,600000
2016-12-31,,8,中国证券金融股份有限公司,598619556,2.917,国有股,600000
2016-12-31,,9,上海国鑫投资发展有限公司,414812199,2.022,国有股,600000
2016-12-31,,10,中央汇金资产管理有限责任公司,306554930,1.494,国有股,600000
2016-09-30,,1,中国移动通信集团广东有限公司,4103763712,20.0,国有股,600000
2016-09-30,,2,上海国际集团有限公司,3473265408,16.927,国有股,600000
2016-09-30,,3,富德生命人寿保险股份有限公司－传统,2138028672,10.42,境内法人股,600000
2016-09-30,,4,富德生命人寿保险股份有限公司－资本金,1356332544,6.61,境内法人股,600000
2016-09-30,,5,上海上国投资产管理有限公司,1073516173,5.232,国有股,600000
2016-09-30,,6,富德生命人寿保险股份有限公司－万能H,977252800,4.763,境内法人股,600000
2016-09-30,,7,梧桐树投资平台有限责任公司,681639488,3.322,国有股,600000
2016-09-30,,8,中国证券金融股份有限公司,576849086,2.811,国有股,600000
2016-09-30,,9,上海国鑫投资发展有限公司,414812192,2.022,国有股,600000
2016-09-30,,10,中央汇金资产管理有限责任公司,306554944,1.494,国有股,600000
2016-06-30,,1,中国移动通信集团广东有限公司,4103763712,20.0,国有股,600000
2016-06-30,,2,上海国际集团有限公司,3473265408,16.927,国有股,600000
2016-06-30,,3,富德生命人寿保险股份有限公司-传统,2138028672,10.42,境内法人股,600000
2016-06-30,,4,富德生命人寿保险股份有限公司-资本金,1356332544,6.61,境内法人股,600000
2016-06-30,,5,上海上国投资产管理有限公司,1073516173,5.232,国有股,600000
2016-06-30,,6,富德生命人寿保险股份有限公司-万能H,977252800,4.763,境内法人股,600000
2016-06-30,,7,梧桐树投资平台有限责任公司,681639488,3.322,国有股,600000
2016-06-30,,8,中国证券金融股份有限公司,599257556,2.921,国有股,600000
2016-06-30,,9,上海国鑫投资发展有限公司,414812192,2.022,国有股,600000
2016-06-30,,10,中央汇金资产管理有限责任公司,306554944,1.494,国有股,600000
2016-03-31,,1,中国移动通信集团广东有限公司,3730694400,20.0,国有股,600000
2016-03-31,,2,上海国际集团有限公司,3157513984,16.927,国有股,600000
2016-03-31,,3,富德生命人寿保险股份有限公司-传统,1943662464,10.42,境内法人股,600000
2016-03-31,,4,富德生命人寿保险股份有限公司-资本金,1233029632,6.61,境内法人股,600000
2016-03-31,,5,上海上国投资产管理有限公司,975923794,5.232,国有股,600000
