指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
燃气生产和供应业私人控股固定资产投资(不含农户)_比上年增长,-5.5,-8.1,-10.7,13.1,15.0,,,,,,,,,,,,,,
水的生产和供应业私人控股固定资产投资(不含农户)_比上年增长,4.9,10.9,8.6,-0.2,7.4,,,,,,,,,,,,,,
建筑业私人控股固定资产投资(不含农户)_比上年增长,-6.0,57.9,-25.6,-76.8,-2.1,,,,,,,,,,,,,,
房屋建筑业私人控股固定资产投资(不含农户)_比上年增长,-16.7,122.6,-33.4,-71.2,-1.5,,,,,,,,,,,,,,
土木工程建筑业私人控股固定资产投资(不含农户)_比上年增长,15.9,38.5,-6.8,-81.3,-1.7,,,,,,,,,,,,,,
建筑安装业私人控股固定资产投资(不含农户)_比上年增长,-2.5,-17.8,-48.2,-75.6,9.6,,,,,,,,,,,,,,
建筑装饰、装修和其他建筑业私人控股固定资产投资(不含农户)_比上年增长,-38.2,26.9,-37.8,-74.1,-7.7,,,,,,,,,,,,,,
批发和零售业私人控股固定资产投资(不含农户)_比上年增长,4.3,3.0,-28.7,-13.9,-24.8,,,,,,,,,,,,,,
批发业私人控股固定资产投资(不含农户)_比上年增长,8.3,,-31.3,-13.0,-30.4,,,,,,,,,,,,,,
零售业私人控股固定资产投资(不含农户)_比上年增长,1.0,5.5,-26.3,-14.7,-18.8,,,,,,,,,,,,,,
交通运输、仓储和邮政业私人控股固定资产投资(不含农户)_比上年增长,4.2,28.9,-2.5,-3.7,-3.8,,,,,,,,,,,,,,
铁路运输业私人控股固定资产投资(不含农户)_比上年增长,13.3,47.0,16.4,66.5,23.4,,,,,,,,,,,,,,
道路运输业私人控股固定资产投资(不含农户)_比上年增长,-13.9,40.9,-1.5,5.6,3.5,,,,,,,,,,,,,,
水上运输业私人控股固定资产投资(不含农户)_比上年增长,25.5,81.2,-23.3,-15.3,-18.2,,,,,,,,,,,,,,
航空运输业私人控股固定资产投资(不含农户)_比上年增长,-13.0,36.5,-24.5,-4.8,-16.7,,,,,,,,,,,,,,
管道运输业私人控股固定资产投资(不含农户)_比上年增长,-7.8,-6.2,9.6,-7.0,51.9,,,,,,,,,,,,,,
多式联运和运输代理业私人控股固定资产投资(不含农户)_比上年增长,18.8,30.3,-8.6,-18.5,-39.7,,,,,,,,,,,,,,
装卸搬运和仓储业私人控股固定资产投资(不含农户)_比上年增长,16.4,12.0,-0.5,-11.3,-0.3,,,,,,,,,,,,,,
邮政业私人控股固定资产投资(不含农户)_比上年增长,59.7,38.9,-11.8,6.1,-27.4,,,,,,,,,,,,,,
住宿和餐饮业私人控股固定资产投资(不含农户)_比上年增长,9.5,5.2,-10.0,1.2,-8.4,,,,,,,,,,,,,,
住宿业私人控股固定资产投资(不含农户)_比上年增长,10.2,4.5,-4.2,4.6,-7.7,,,,,,,,,,,,,,
餐饮业私人控股固定资产投资(不含农户)_比上年增长,5.3,9.5,-33.9,-10.9,-10.7,,,,,,,,,,,,,,
信息传输、软件和信息技术服务业私人控股固定资产投资(不含农户)_比上年增长,7.9,42.5,3.7,1.3,-3.1,,,,,,,,,,,,,,
电信、广播电视和卫星传输服务私人控股固定资产投资(不含农户)_比上年增长,-13.9,27.0,21.8,6.1,-60.9,,,,,,,,,,,,,,
互联网和相关服务私人控股固定资产投资(不含农户)_比上年增长,-0.9,65.4,-1.7,12.4,23.6,,,,,,,,,,,,,,
软件和信息技术服务业私人控股固定资产投资(不含农户)_比上年增长,18.0,26.8,7.0,-6.4,-8.7,,,,,,,,,,,,,,
金融业私人控股固定资产投资(不含农户)_比上年增长,-5.7,-3.6,-24.8,14.5,-22.2,,,,,,,,,,,,,,
货币金融服务私人控股固定资产投资(不含农户)_比上年增长,-5.6,62.4,-34.4,44.5,-15.2,,,,,,,,,,,,,,
资本市场服务私人控股固定资产投资(不含农户)_比上年增长,-27.0,-28.0,-11.7,-42.7,-42.3,,,,,,,,,,,,,,
保险业私人控股固定资产投资(不含农户)_比上年增长,-22.0,7.8,-65.6,49.4,86.4,,,,,,,,,,,,,,
其他金融业私人控股固定资产投资(不含农户)_比上年增长,23.5,-37.3,51.1,107.0,-33.8,,,,,,,,,,,,,,
房地产业私人控股固定资产投资(不含农户)_比上年增长,-11.5,6.2,9.4,10.9,13.9,,,,,,,,,,,,,,
租赁和商务服务业私人控股固定资产投资(不含农户)_比上年增长,12.3,28.1,2.3,9.0,11.7,,,,,,,,,,,,,,
租赁业私人控股固定资产投资(不含农户)_比上年增长,1.0,24.2,-45.1,-15.4,28.6,,,,,,,,,,,,,,
商务服务业私人控股固定资产投资(不含农户)_比上年增长,12.6,28.2,5.6,11.2,10.4,,,,,,,,,,,,,,
科学研究和技术服务业私人控股固定资产投资(不含农户)_比上年增长,22.0,17.6,-6.7,5.7,14.7,,,,,,,,,,,,,,
研究和试验发展私人控股固定资产投资(不含农户)_比上年增长,47.4,15.6,-1.4,-7.6,2.2,,,,,,,,,,,,,,
专业技术服务业私人控股固定资产投资(不含农户)_比上年增长,-4.6,15.8,-5.3,15.8,-2.2,,,,,,,,,,,,,,
科技推广和应用服务业私人控股固定资产投资(不含农户)_比上年增长,21.2,19.7,-10.1,9.1,34.5,,,,,,,,,,,,,,
水利、环境和公共设施管理业私人控股固定资产投资(不含农户)_比上年增长,5.4,10.3,-10.3,-1.0,0.5,,,,,,,,,,,,,,
水利管理业私人控股固定资产投资(不含农户)_比上年增长,24.6,35.4,-15.0,-4.0,-17.8,,,,,,,,,,,,,,
生态保护和环境治理业私人控股固定资产投资(不含农户)_比上年增长,9.4,19.9,4.5,25.8,30.2,,,,,,,,,,,,,,
公共设施管理业私人控股固定资产投资(不含农户)_比上年增长,3.3,8.1,-12.8,-3.9,-1.2,,,,,,,,,,,,,,
土地管理业私人控股固定资产投资(不含农户)_比上年增长,35.2,-49.7,58.8,-21.2,8.4,,,,,,,,,,,,,,
居民服务、修理和其他服务业私人控股固定资产投资(不含农户)_比上年增长,24.3,-8.4,-2.1,1.4,-14.8,,,,,,,,,,,,,,
居民服务业私人控股固定资产投资(不含农户)_比上年增长,25.9,-8.9,7.2,0.3,3.8,,,,,,,,,,,,,,
机动车、电子产品和日用产品修理业私人控股固定资产投资(不含农户)_比上年增长,23.8,-8.8,-24.6,24.3,-33.7,,,,,,,,,,,,,,
其他服务业私人控股固定资产投资(不含农户)_比上年增长,17.3,-5.0,10.7,-29.6,-30.2,,,,,,,,,,,,,,
教育私人控股固定资产投资(不含农户)_比上年增长,-3.4,41.9,9.7,30.7,26.2,,,,,,,,,,,,,,
卫生和社会工作私人控股固定资产投资(不含农户)_比上年增长,6.7,10.5,2.7,5.3,8.8,,,,,,,,,,,,,,
卫生私人控股固定资产投资(不含农户)_比上年增长,4.7,16.0,-0.4,4.1,11.0,,,,,,,,,,,,,,
社会工作私人控股固定资产投资(不含农户)_比上年增长,10.1,2.1,7.9,7.4,5.2,,,,,,,,,,,,,,
文化、体育和娱乐业私人控股固定资产投资(不含农户)_比上年增长,4.6,6.2,-1.3,19.6,35.6,,,,,,,,,,,,,,
新闻和出版业私人控股固定资产投资(不含农户)_比上年增长,36.9,93.3,-55.5,-62.6,189.0,,,,,,,,,,,,,,
广播、电视、电影和影视录音制作业私人控股固定资产投资(不含农户)_比上年增长,-27.6,-33.2,17.2,-26.5,-47.6,,,,,,,,,,,,,,
文化艺术业私人控股固定资产投资(不含农户)_比上年增长,17.4,3.4,-12.5,-2.5,-13.3,,,,,,,,,,,,,,
体育私人控股固定资产投资(不含农户)_比上年增长,-10.3,-12.9,-0.6,8.0,11.1,,,,,,,,,,,,,,
娱乐业私人控股固定资产投资(不含农户)_比上年增长,5.1,11.1,0.1,31.2,89.8,,,,,,,,,,,,,,
公共管理、社会保障和社会组织私人控股固定资产投资(不含农户)_比上年增长,37.5,0.1,-11.5,-22.3,-41.9,,,,,,,,,,,,,,
中国共产党机关私人控股固定资产投资(不含农户)_比上年增长,,,,,,,,,,,,,,,,,,,
国家机构私人控股固定资产投资(不含农户)_比上年增长,18.9,19.5,10.1,,-67.9,,,,,,,,,,,,,,
人民政协、民主党派私人控股固定资产投资(不含农户)_比上年增长,,,,,,,,,,,,,,,,,,,
社会保障私人控股固定资产投资(不含农户)_比上年增长,,-16.2,-93.1,-35.9,-74.1,,,,,,,,,,,,,,
群众团体、社会团体和其他成员组织私人控股固定资产投资(不含农户)_比上年增长,75.4,-44.1,-17.1,-53.5,-3.7,,,,,,,,,,,,,,
基层群众自治组织私人控股固定资产投资(不含农户)_比上年增长,33.3,-22.6,-35.6,-42.2,65.3,,,,,,,,,,,,,,
国际组织私人控股固定资产投资(不含农户)_比上年增长,,,,,,,,,,,,,,,,,,,
