SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,PRODUCT_TYPE,MEASURE_CODE,MEASURE_DESCRIPTION,MEASURE_COMPONENT,MEASURE_SUMMARY_UNITS,AGE_STRATIFICATION,MEASURE_RESULT,LOWER_95_CI,UPPER_95_CI,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT,PERFORMANCE_CATEGORY
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,2.16,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. John Medical Center,Longview,98632,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,1.14,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. Joseph Medical Center,Bellingham,98225,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.15,0.12,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. Joseph Medical Center,Bellingham,98225,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth United General Medical Center,Sedro Woolley,98284,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.81,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Summit Pacific Medical Center,Elma,98541,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.14,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Cherry Hill,Seattle,98122,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.14,0.11,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Cherry Hill,Seattle,98122,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.76,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Edmonds,Edmonds,98026,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,0.7,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish First Hill,Seattle,98122,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Issaquah,Issaquah,98029,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.15,0.11,0.2,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Three Rivers Hospital,Brewster,98812,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Toppenish Community Hospital,Toppenish,98948,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.85,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine/Harborview Medical Center,Seattle,98104,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.15,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine/Harborview Medical Center,Seattle,98104,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.78,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.15,0.12,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,18.95,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.97,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - University Of Washington Medical Center,Seattle,98195,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.92,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - University Of Washington Medical Center,Seattle,98195,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.42,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - University Of Washington Medical Center,Seattle,98195,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.48,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Valley Medical Center,Renton,98055,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,1.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Valley Medical Center,Renton,98055,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Valley Medical Center,Renton,98055,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,26.04,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Valley Medical Center,Renton,98055,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.42,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Whidbeyhealth Medical Center,Coupeville,98239,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.15,0.11,0.19,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Whitman Hospital & Medical Center,Colfax,99111,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.14,0.13,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Pmh Medical Center,Prosser,99350,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,4.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Mount Carmel Hospital,Colville,99114,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.78,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Regional Medical Center Everett,Everett,98201,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,0.93,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Sacred Heart Medical Center & Children'S Hospital,Spokane,99204,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Sacred Heart Medical Center & Children'S Hospital,Spokane,99204,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,1.26,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Joseph'S Hospital,Chewelah,99109,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,2.34,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Mary Medical Center,Walla Walla,99362,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.9,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Mary Medical Center,Walla Walla,99362,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,29.96,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Peter Hospital,Olympia,98506,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.14,0.11,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Pullman Regional Hospital,Pullman,99163,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.87,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Pullman Regional Hospital,Pullman,99163,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,5.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Samaritan Healthcare,Moses Lake,98837,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Samaritan Healthcare,Moses Lake,98837,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.96,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Anthony Hospital,Gig Harbor,98332,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Clare Hospital,Lakewood,98499,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.15,0.12,0.19,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Elizabeth Hospital,Enumclaw,98022,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.91,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Elizabeth Hospital,Enumclaw,98022,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,2.02,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Francis Hospital,Federal Way,98003,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.14,0.13,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Joseph Medical Center,Tacoma,98405,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.89,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Jefferson Healthcare,Port Townsend,98368,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,34.38,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Columbia Basin Hospital,Ephrata,98823,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.14,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Confluence Health - Central Washington Hospital,Wenatchee,98807,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.14,0.13,0.15,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Confluence Health - Central Washington Hospital,Wenatchee,98807,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,0.83,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Confluence Health - Central Washington Hospital,Wenatchee,98807,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.81,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Confluence Health - Central Washington Hospital,Wenatchee,98807,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,24.4,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Grays Harbor Community Hospital,Aberdeen,98520,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,36.43,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Harrison Medical Center,Bremerton,98310,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.79,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Kittitas Valley Healthcare,Ellensburg,98926,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.84,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Kittitas Valley Healthcare,Ellensburg,98926,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Klickitat Valley Health,Goldendale,98620,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.7,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Lake Chelan Community Hospital,Chelan,98816,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.13,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Legacy Salmon Creek Medical Center,Vancouver,98686,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,19.12,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Coulee Medical Center,Grand Coulee,99133,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,2.9,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Evergreenhealth Medical Center,Kirkland,98034,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.88,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Evergreenhealth Medical Center,Kirkland,98034,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,27.45,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Evergreenhealth Medical Center,Kirkland,98034,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,1.05,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Mason General Hospital & Family Of Clinics,Shelton,98584,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.82,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Mason General Hospital & Family Of Clinics,Shelton,98584,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Valley Hospital,Spokane Valley,99216,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Sacred Heart Medical Center & Children'S Hospital,Spokane,99204,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,0.93,0.76,1.09,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Mary Medical Center,Walla Walla,99362,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,4.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - University Of Washington Medical Center,Seattle,98195,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,0.78,0.59,0.96,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Confluence Health - Central Washington Hospital,Wenatchee,98807,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,0.62,0.38,0.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Valley Hospital,Spokane Valley,99216,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.24,0.89,1.59,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Valley Hospital,Spokane Valley,99216,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Valley Hospital,Spokane Valley,99216,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Good Samaritan Hospital,Puyallup,98372,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,2.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Good Samaritan Hospital,Puyallup,98372,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.96,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Tacoma General Hospital,Tacoma,98405,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.56,1.34,1.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,North Valley Hospital,Tonasket,98855,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.8,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Othello Community Hospital,Othello,99344,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Peace Island Medical Center,Friday Harbor,98250,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.87,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,20.12,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. John Medical Center,Longview,98632,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. Joseph Medical Center,Bellingham,98225,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.13,0.13,0.15,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. Joseph Medical Center,Bellingham,98225,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.71,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Edmonds,Edmonds,98026,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.57,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Edmonds,Edmonds,98026,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.61,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish First Hill,Seattle,98122,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Issaquah,Issaquah,98029,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,22.28,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
