Survey Years,Sex,Age Group,Race and Hispanic Origin,Measure,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Note2,Notea,Noteb
1999-2000,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,40.9,2.2,36.1,45.9,,,,,
1999-2000,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,35.7,1.8,31.8,39.8,,,,,
1999-2000,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,51.7,2.4,46.4,56.9,,,,,
1999-2000,All,20-69,All,Total Dental Caries in Permanent Teeth,90.7,0.6,89.3,91.9,,,,,
1999-2000,Male,20-69,All,Total Dental Caries in Permanent Teeth,89.5,1.1,86.8,91.8,,,,,
1999-2000,Female,20-69,All,Total Dental Caries in Permanent Teeth,91.8,1.0,89.5,93.8,,,,,
1999-2000,All,20-29,All,Total Dental Caries in Permanent Teeth,84.1,2.3,78.5,88.8,,,,,
1999-2000,Male,20-29,All,Total Dental Caries in Permanent Teeth,80.5,3.6,71.4,87.8,,,,,
1999-2000,Female,20-29,All,Total Dental Caries in Permanent Teeth,87.7,3.0,79.7,93.4,,,,,
1999-2000,All,30-39,All,Total Dental Caries in Permanent Teeth,89.8,2.0,84.5,93.8,,,,,
1999-2000,Male,30-39,All,Total Dental Caries in Permanent Teeth,88.4,2.2,82.9,92.7,,,,,
1999-2000,Female,30-39,All,Total Dental Caries in Permanent Teeth,91.1,2.8,83.0,96.2,,,,,
1999-2000,All,40-49,All,Total Dental Caries in Permanent Teeth,95.0,1.0,92.4,97.0,,,,,
1999-2000,Male,40-49,All,Total Dental Caries in Permanent Teeth,95.7,1.2,92.3,97.9,,,,,
1999-2000,Female,40-49,All,Total Dental Caries in Permanent Teeth,94.4,1.3,90.9,96.9,,,,,
1999-2000,All,50-59,All,Total Dental Caries in Permanent Teeth,93.8,1.1,91.0,95.9,,,,,
1999-2000,Male,50-59,All,Total Dental Caries in Permanent Teeth,93.2,2.1,87.2,97.0,,,,,
1999-2000,Female,50-59,All,Total Dental Caries in Permanent Teeth,94.4,1.2,90.7,96.9,,,,,
1999-2000,All,60-69,All,Total Dental Caries in Permanent Teeth,93.8,1.1,90.9,96.1,,,,,
1999-2000,Male,60-69,All,Total Dental Caries in Permanent Teeth,92.4,1.5,88.5,95.3,,,,,
1999-2000,Female,60-69,All,Total Dental Caries in Permanent Teeth,95.4,1.4,91.2,97.9,,,,,
1999-2000,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,92.6,0.6,91.2,93.8,,,,,
1999-2000,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,85.3,1.4,81.9,88.3,,,,,
1999-2000,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,81.3,2.2,75.9,85.9,,,,,
1999-2000,All,60 and over,All,Complete Tooth Loss,26.3,14.0,21.5,31.5,,,,,
1999-2000,Male,60 and over,All,Complete Tooth Loss,22.6,14.0,16.7,29.3,,,,,
1999-2000,Female,60 and over,All,Complete Tooth Loss,29.3,14.0,24.4,34.7,,,,,
1999-2000,All,60-69,All,Complete Tooth Loss,21.4,14.0,16.4,27.0,,,,,
1999-2000,Male,60-69,All,Complete Tooth Loss,19.1,14.0,12.8,26.9,,,,,
1999-2000,Female,60-69,All,Complete Tooth Loss,23.5,14.0,17.4,30.6,,,,,
1999-2000,All,70 and over,All,Complete Tooth Loss,31.5,14.0,26.2,37.3,,,,,
1999-2000,Male,70 and over,All,Complete Tooth Loss,27.0,14.0,20.9,33.8,,,,,
1999-2000,Female,70 and over,All,Complete Tooth Loss,34.7,14.0,28.3,41.4,,,,,
1999-2000,All,60 and over,Non-Hispanic White,Complete Tooth Loss,25.8,14.0,20.2,32.1,,,,,
1999-2000,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,30.0,11.0,24.2,36.3,,,,,
1999-2000,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,60 and over,Hispanic,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,60 and over,Mexican American,Complete Tooth Loss,13.8,8.0,9.9,18.5,,,,,
1999-2000,All,2-11,All,Untreated Dental Caries in Primary Teeth,22.5,2.2,17.8,27.7,,,,,
1999-2000,Male,2-11,All,Untreated Dental Caries in Primary Teeth,22.9,3.9,15.0,32.6,,,,,
1999-2000,Female,2-11,All,Untreated Dental Caries in Primary Teeth,22.0,2.6,16.7,28.1,,,,,
1999-2000,All,2-5,All,Untreated Dental Caries in Primary Teeth,23.2,2.2,18.5,28.4,,,,,
1999-2000,Male,2-5,All,Untreated Dental Caries in Primary Teeth,24.1,3.9,16.0,33.7,,,,,
1999-2000,Female,2-5,All,Untreated Dental Caries in Primary Teeth,22.3,2.2,17.7,27.4,,,,,
1999-2000,All,6-11,All,Untreated Dental Caries in Primary Teeth,22.0,2.7,16.3,28.6,,,,,
1999-2000,Male,6-11,All,Untreated Dental Caries in Primary Teeth,22.2,4.6,13.0,33.9,,,,,
1999-2000,Female,6-11,All,Untreated Dental Caries in Primary Teeth,21.8,4.7,12.5,33.9,,,,,
1999-2000,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,20.5,2.8,14.6,27.5,,,,,
1999-2000,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,27.9,2.5,22.6,33.8,,,,,
1999-2000,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,34.1,3.8,25.9,43.1,,,,,
1999-2000,All,6-19,All,Untreated Dental Caries in Permanent Teeth,14.8,1.7,11.4,18.8,,,,,
1999-2000,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,15.1,2.6,10.0,21.5,,,,,
1999-2000,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,14.5,1.5,11.3,18.1,,,,,
1999-2000,All,6-11,All,Untreated Dental Caries in Permanent Teeth,6.2,1.6,3.2,10.7,,,,,
1999-2000,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,7.1,2.3,2.9,13.9,,,,,
1999-2000,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,5.3,1.2,3.1,8.4,,,,,
1999-2000,All,12-19,All,Untreated Dental Caries in Permanent Teeth,21.4,2.0,17.2,26.2,,,,,
1999-2000,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,21.5,3.0,15.3,28.7,,,,,
1999-2000,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,21.4,2.6,16.0,27.6,,,,,
1999-2000,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,11.8,2.5,6.7,18.6,,,,,
1999-2000,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,17.7,1.2,15.1,20.4,,,,,
1999-2000,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,26.3,1.2,23.6,29.0,,,,,
1999-2000,All,20-69,All,Untreated Dental Caries in Permanent Teeth,25.0,1.9,20.9,29.4,,,,,
1999-2000,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,27.2,2.4,22.2,32.7,,,,,
1999-2000,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,22.8,1.7,19.3,26.6,,,,,
1999-2000,All,20-29,All,Untreated Dental Caries in Permanent Teeth,31.1,3.3,24.2,38.7,,,,,
1999-2000,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,31.4,3.8,23.4,40.4,,,,,
1999-2000,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,30.8,3.4,23.7,38.6,,,,,
1999-2000,All,30-39,All,Untreated Dental Caries in Permanent Teeth,28.4,2.8,22.5,34.9,,,,,
1999-2000,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,29.9,3.2,23.1,37.4,,,,,
1999-2000,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,26.8,3.2,20.2,34.3,,,,,
1999-2000,All,40-49,All,Untreated Dental Caries in Permanent Teeth,19.9,2.1,15.7,24.8,,,,,
1999-2000,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,22.5,2.6,17.0,28.7,,,,,
1999-2000,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,17.7,2.7,12.2,24.3,,,,,
1999-2000,All,50-59,All,Untreated Dental Caries in Permanent Teeth,22.4,3.3,15.6,30.5,,,,,
1999-2000,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,24.5,4.4,15.5,35.5,,,,,
1999-2000,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,20.4,3.9,12.6,30.2,,,,,
1999-2000,All,60-69,All,Untreated Dental Caries in Permanent Teeth,22.8,1.6,19.5,26.4,,,,,
1999-2000,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,28.4,2.8,22.4,34.9,,,,,
1999-2000,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,17.1,2.3,12.4,22.8,,,,,
1999-2000,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,20.3,2.6,15.0,26.5,,,,,
1999-2000,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,42.0,2.2,37.0,47.0,,,,,
1999-2000,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,38.3,1.6,34.9,41.9,,,,,
2001-2002,All,2-11,All,Total Dental Caries in Primary Teeth,41.1,2.4,36.0,46.3,,,,,
2001-2002,Male,2-11,All,Total Dental Caries in Primary Teeth,45.0,2.7,39.3,50.9,,,,,
2001-2002,Female,2-11,All,Total Dental Caries in Primary Teeth,37.0,3.1,30.5,43.9,,,,,
2001-2002,All,2-5,All,Total Dental Caries in Primary Teeth,26.1,1.9,22.1,30.5,,,,,
2001-2002,Male,2-5,All,Total Dental Caries in Primary Teeth,27.9,2.6,22.4,33.9,,,,,
2001-2002,Female,2-5,All,Total Dental Caries in Primary Teeth,24.5,3.2,17.9,32.1,,,,,
2001-2002,All,6-11,All,Total Dental Caries in Primary Teeth,51.1,3.2,44.1,58.1,,,,,
2001-2002,Male,6-11,All,Total Dental Caries in Primary Teeth,55.5,3.3,48.1,62.6,,,,,
2001-2002,Female,6-11,All,Total Dental Caries in Primary Teeth,46.2,3.9,37.7,54.9,,,,,
2001-2002,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,37.2,3.5,29.6,45.2,,,,,
2001-2002,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,44.6,2.3,39.7,49.6,,,,,
2001-2002,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,53.2,3.2,45.9,60.3,,,,,
2001-2002,All,6-19,All,Total Dental Caries in Permanent Teeth,40.2,1.6,36.7,43.9,,,,,
2001-2002,Male,6-19,All,Total Dental Caries in Permanent Teeth,38.7,1.9,34.6,42.9,,,,,
2001-2002,Female,6-19,All,Total Dental Caries in Permanent Teeth,41.9,2.0,37.5,46.4,,,,,
2001-2002,All,6-11,All,Total Dental Caries in Permanent Teeth,20.8,1.5,17.6,24.3,,,,,
2001-2002,Male,6-11,All,Total Dental Caries in Permanent Teeth,19.9,1.8,16.2,24.0,,,,,
2001-2002,Female,6-11,All,Total Dental Caries in Permanent Teeth,21.7,2.7,16.2,28.1,,,,,
2001-2002,All,12-19,All,Total Dental Caries in Permanent Teeth,55.2,1.7,51.4,59.0,,,,,
2001-2002,Male,12-19,All,Total Dental Caries in Permanent Teeth,53.4,2.5,47.9,58.9,,,,,
2001-2002,Female,12-19,All,Total Dental Caries in Permanent Teeth,57.1,2.1,52.3,61.7,,,,,
2001-2002,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,38.2,2.7,32.5,44.1,,,,,
2001-2002,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,37.9,1.9,33.9,42.1,,,,,
2001-2002,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,41.4,3.0,34.9,48.2,,,,,
2001-2002,All,20-69,All,Total Dental Caries in Permanent Teeth,91.3,0.6,90.0,92.5,,,,,
2001-2002,Male,20-69,All,Total Dental Caries in Permanent Teeth,90.4,0.9,88.3,92.3,,,,,
2001-2002,Female,20-69,All,Total Dental Caries in Permanent Teeth,92.1,0.7,90.5,93.6,,,,,
2001-2002,All,20-29,All,Total Dental Caries in Permanent Teeth,80.0,1.8,76.0,83.7,,,,,
2001-2002,Male,20-29,All,Total Dental Caries in Permanent Teeth,78.5,1.6,74.0,82.6,,,,,
2001-2002,Female,20-29,All,Total Dental Caries in Permanent Teeth,81.4,2.9,74.4,87.1,,,,,
2001-2002,All,30-39,All,Total Dental Caries in Permanent Teeth,92.6,1.0,90.2,94.6,,,,,
2001-2002,Male,30-39,All,Total Dental Caries in Permanent Teeth,91.2,2.0,85.7,95.0,,,,,
2001-2002,Female,30-39,All,Total Dental Caries in Permanent Teeth,93.9,1.5,89.9,96.7,,,,,
2001-2002,All,40-49,All,Total Dental Caries in Permanent Teeth,95.0,1.0,92.3,97.0,,,,,
2001-2002,Male,40-49,All,Total Dental Caries in Permanent Teeth,93.9,1.1,91.0,96.1,,,,,
2001-2002,Female,40-49,All,Total Dental Caries in Permanent Teeth,96.2,1.2,92.7,98.3,,,,,
2001-2002,All,50-59,All,Total Dental Caries in Permanent Teeth,96.4,0.6,94.5,97.8,,,,,
2001-2002,Male,50-59,All,Total Dental Caries in Permanent Teeth,95.6,0.9,92.6,97.6,,,,,
2001-2002,Female,50-59,All,Total Dental Caries in Permanent Teeth,97.2,0.9,94.4,98.8,,,,,
2001-2002,All,60-69,All,Total Dental Caries in Permanent Teeth,93.9,0.8,91.5,95.8,,,,,
2001-2002,Male,60-69,All,Total Dental Caries in Permanent Teeth,92.9,1.3,89.1,95.7,,,,,
2001-2002,Female,60-69,All,Total Dental Caries in Permanent Teeth,94.7,1.1,91.3,97.0,,,,,
2001-2002,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,94.1,0.5,93.0,95.1,,,,,
2001-2002,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,85.5,1.0,82.8,87.9,,,,,
2001-2002,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,78.6,2.6,72.3,84.2,,,,,
2001-2002,All,60 and over,All,Complete Tooth Loss,22.7,15.0,18.8,26.9,,,,,
2001-2002,Male,60 and over,All,Complete Tooth Loss,20.6,15.0,16.2,25.5,,,,,
2001-2002,Female,60 and over,All,Complete Tooth Loss,24.2,15.0,19.6,29.3,,,,,
2001-2002,All,60-69,All,Complete Tooth Loss,17.9,15.0,13.4,23.2,,,,,
2001-2002,Male,60-69,All,Complete Tooth Loss,17.1,15.0,12.4,22.7,,,,,
2001-2002,Female,60-69,All,Complete Tooth Loss,18.6,15.0,13.0,25.3,,,,,
2001-2002,All,70 and over,All,Complete Tooth Loss,27.0,15.0,22.8,31.5,,,,,
2001-2002,Male,70 and over,All,Complete Tooth Loss,23.9,15.0,18.9,29.6,,,,,
2001-2002,Female,70 and over,All,Complete Tooth Loss,29.2,15.0,23.8,35.0,,,,,
2001-2002,All,60 and over,Non-Hispanic White,Complete Tooth Loss,21.7,15.0,17.7,26.0,,,,,
2001-2002,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,25.8,11.0,18.3,34.6,,,,,
2001-2002,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,60 and over,Hispanic,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,60 and over,Mexican American,Complete Tooth Loss,20.4,6.0,9.3,36.3,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2001-2002,All,2-11,All,Untreated Dental Caries in Primary Teeth,20.4,2.1,16.1,25.4,,,,,
2001-2002,Male,2-11,All,Untreated Dental Caries in Primary Teeth,22.1,2.0,18.0,26.6,,,,,
2001-2002,Female,2-11,All,Untreated Dental Caries in Primary Teeth,18.7,2.9,12.8,25.8,,,,,
2001-2002,All,2-5,All,Untreated Dental Caries in Primary Teeth,15.8,2.1,11.6,20.9,,,,,
2001-2002,Male,2-5,All,Untreated Dental Caries in Primary Teeth,16.7,2.2,12.3,21.9,,,,,
2001-2002,Female,2-5,All,Untreated Dental Caries in Primary Teeth,15.0,2.9,9.2,22.5,,,,,
2001-2002,All,6-11,All,Untreated Dental Caries in Primary Teeth,23.5,2.4,18.5,29.2,,,,,
2001-2002,Male,6-11,All,Untreated Dental Caries in Primary Teeth,25.4,2.2,20.8,30.4,,,,,
2001-2002,Female,6-11,All,Untreated Dental Caries in Primary Teeth,21.4,3.5,14.4,29.8,,,,,
2001-2002,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,16.5,3.6,9.6,25.7,,,,,
2001-2002,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,28.2,2.4,23.2,33.6,,,,,
2001-2002,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,30.3,2.7,24.4,36.8,,,,,
2001-2002,All,6-19,All,Untreated Dental Caries in Permanent Teeth,12.3,1.0,10.3,14.5,,,,,
2001-2002,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,13.0,1.1,10.8,15.4,,,,,
2001-2002,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,11.5,1.1,9.3,14.2,,,,,
2001-2002,All,6-11,All,Untreated Dental Caries in Permanent Teeth,6.9,1.2,4.6,10.0,,,,,
2001-2002,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,7.1,1.5,4.3,11.0,,,,,
2001-2002,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,6.7,1.9,3.3,11.9,,,,,
2001-2002,All,12-19,All,Untreated Dental Caries in Permanent Teeth,16.4,1.4,13.5,19.5,,,,,
2001-2002,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,17.5,1.7,14.0,21.5,,,,,
2001-2002,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,15.2,1.3,12.4,18.3,,,,,
2001-2002,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,9.4,1.6,6.2,13.5,,,,,
2001-2002,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,16.9,1.9,13.0,21.5,,,,,
2001-2002,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,14.1,1.1,11.7,16.8,,,,,
2001-2002,All,20-69,All,Untreated Dental Caries in Permanent Teeth,21.6,1.1,19.3,24.2,,,,,
2001-2002,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,23.9,1.3,21.1,26.9,,,,,
2001-2002,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,19.5,1.2,16.9,22.3,,,,,
2001-2002,All,20-29,All,Untreated Dental Caries in Permanent Teeth,23.6,2.5,18.4,29.5,,,,,
2001-2002,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,24.3,2.9,18.2,31.1,,,,,
2001-2002,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,23.1,2.8,17.4,29.6,,,,,
2001-2002,All,30-39,All,Untreated Dental Caries in Permanent Teeth,25.2,1.4,22.1,28.4,,,,,
2001-2002,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,28.0,1.3,23.4,33.1,,,,,
2001-2002,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,22.6,2.3,17.8,27.9,,,,,
2001-2002,All,40-49,All,Untreated Dental Caries in Permanent Teeth,21.2,1.2,18.4,24.2,,,,,
2001-2002,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,23.4,2.1,19.0,28.3,,,,,
2001-2002,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,18.8,1.4,15.0,23.0,,,,,
2001-2002,All,50-59,All,Untreated Dental Caries in Permanent Teeth,19.3,2.3,14.5,24.7,,,,,
2001-2002,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,23.3,3.4,16.4,31.5,,,,,
2001-2002,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,15.1,2.4,10.4,20.9,,,,,
2001-2002,All,60-69,All,Untreated Dental Caries in Permanent Teeth,16.5,2.1,12.2,21.7,,,,,
2001-2002,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,17.0,2.7,11.7,23.5,,,,,
2001-2002,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,16.1,2.6,10.9,22.5,,,,,
2001-2002,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,16.8,1.5,13.8,20.2,,,,,
2001-2002,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,42.2,2.4,37.0,47.4,,,,,
2001-2002,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
