OBJECTID,SYSTEM,PARENTID,DEPARTMENT,DESCRIPTION,SYNTURF_Location,System_Type,Turf_Type,Infill_Material,JOP,Maint_By,Maint_By_Spec,Construction_Entity,Construction_Entity_Spec,Contract_Type,Contract_Number,Commission_Date,RETIRED,Borough,Shape
80,M144-SYNTURF-0031,M144,M-03,East River Park - Track Field,FDR Drive and East 6th Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,Other,Challenge America,Unknown,NULL,12/18/2001,False,M,0xD708000001042E000000801A4E0008422E41005829D1E6AA084180646BF904422E410038CB1967AA08418069834506422E41004627EAE6A908418012B5DE0B422E41008E3E9868A9084100FACBAA15422E4100F0FD6FEEA8084100D99AA825422E4100403ADC7EA8084180D3388E39422E41005E37D419A80841004320EE50422E4100B4F984C1A708418036FB476B422E41009248D277A70841807CD20A88422E41001CA6523EA7084180B29498A6422E41001C8B4216A70841804CF148C6422E4100E0027D00A7084100AAE16DE6422E41003A537AFDA60841801EAF5606432E41006EF44B0DA708418002A55325432E41002435992FA7084100C499BA42432E41008A4AA763A7084100F09EE95D432E410048A056A8A7084180458A4B76432E4100A6982DFCA7084100CEDB0A89432E410068096C59A8084100B8528798432E41007A65CBBFA8084180F5E27AA4432E4100DEB97C2DA9084180B475AFAC432E410010238EA0A908418065BA431C442E4100781A5546B30841000D4D0D20442E4100D060D5BDB308410069F8E21F442E4100DA3A4A36B40841007D68C51B442E410086289EADB40841808EC1C613442E4100D809C121B508418027A00A08442E41000EDBB090B50841808E0E16F7432E4100FCDB62FAB5084100CC8078E2432E41006E3E1A59B608418090ABA1CA432E41009EA6D3AAB6084100D39213B0432E4100CE99D1EDB6084180C1565E93432E410086EEA920B7084180B72F1E75432E41008ECC4542B70841803291F755432E41002A75F051B7084100C1F89336432E410010E7534FB7084180F7E59D17432E410072927D3AB708418062FFBDF9422E41000C5DE013B7084100758996DD422E410006924CDCB6084100808BC0C3422E4100F6E5F194B6084100A5AC8FAD422E41007434BE3EB608418017D48C9A422E4100D4B623DDB50841803D90148B422E41004CD0FE71B50841003B4D727F422E4100BAE858FFB4084100ECFCDE77422E41009A606287B40841801A4E0008422E41005829D1E6AA084101000000020000000001000000FFFFFFFF0000000003
190,X155-SYNTURF-0021,X155,X-01,Patterson Playground,College Avenue and E 148 Street,Field Group,Infill,Unknown,true,Other,DREAM Charter School,DPR,NULL,Capital,X155-116M,01/01/1899,False,X,0xD7080000010408000000007ADBA2A3B02E41000ABBC2BEDC0C4100F4533F4BB12E4100D2EF1A55DB0C4100F7FE1277B22E41000AD0136CDE0C4180043A889BB22E4100F22F8907E00C41008B728E48B12E4100821D49DCE10C4180858C8102B12E4100CCB9E353E10C41808B8A91BFB02E410062072A18DE0C41007ADBA2A3B02E41000ABBC2BEDC0C4101000000020000000001000000FFFFFFFF0000000003
137,X092-SYNTURF-0010,X092,X-13,Van Cortlandt Park,Broadway and Van Cortlandt Park South,Field Group,Non-Infill,Not Applicable,false,DPR,NULL,DPR,NULL,Capital,X092-107M,05/29/2010,False,X,0xD708000001042900000000C9E8AD72E52E410042A0016908104180B4A3F67BE52E410024DE1C3008104180B85A6889E52E410046F5A4FA07104180A747B59AE52E410059FCCFC907104100FE2179AFE52E4100A07DB89E07104180ECF93BC7E52E4100E16A577A071041005D1174E1E52E410048697F5D0710410006E489FDE52E41005FC7D7480710410072D7DA1AE62E4100F072D73C071041001143BD38E62E41000B4DC4390710418045228456E62E4100F423B03F0710410075478373E62E4100245D784E0710410017E3128FE62E410053A3C76507104100C16093A8E62E410076E8168507104100C4D338BCE62E4100CC3796A8071041005469AFCDE62E4100C82163D0071041008B54BBDCE62E41005B40F5FB071041809FAD28E9E62E41004213B72A08104180BC0DFEDEE72E41003E7EC1440D104100EC623EE5E72E41003A4327770D1041800B1EDCE7E72E41001A8FD0AA0D104100E578C9E6E72E4100D44BB2DE0D1041008F540CE2E72E410059B5BF110E10410035FA33DAE72E4100FC8C844A0E1041002B51C9CDE72E41009B55EC7F0E104100C25C23BDE72E4100927981B00E104100E2799A9CE72E41000FE6D6FF0D10410069EEDDE1E62E41009B282C8F0E10418058AA2802E72E410094270C3B0F104100E86CC8EAE62E41007802F9310F104180793D2FD4E62E410066AAF6220F1041807FDBBCBEE62E4100549E440E0F1041805BA8CCAAE62E410098393BF40E104100BBFC5F93E62E4100F490E3C00E104180A39CEE7EE62E41007D2DAE880E1041000DB3B86DE62E4100DE1B4C4C0E104100F052E377E52E410049DA56390910410056424571E52E4100B6BE45060910418056642B6EE52E41000654E2D1081041802A56A46EE52E4100F487239D08104100C9E8AD72E52E410042A0016908104101000000020000000001000000FFFFFFFF0000000003
194,Q471-SYNTURF-0042,Q471,Q-07,Hunter's Point Small Play area,Center Blvd and 51st Avenue,Play Area,Unknown,Unknown,false,DPR,NULL,Unknown,NULL,Unknown,NULL,08/01/2013,False,Q,0xD708000001041500000000BFBC13A25E2E4100BED70246A10941800F7E33945E2E4100E825D32FA10941800A1C57895E2E41008EE1AE0FA109418014BA25835E2E4100A2D57BEAA0094180243121825E2E410026B5BFD7A0094180D51091825E2E410008A8E2C5A0094180175171845E2E4100F4B894B5A0094100A377AF875E2E4100547E76A7A00941807A8AB9915E2E4100709AD893A00941007210289F5E2E4100EA4B068EA00941009F47EFAD5E2E41002C56E196A00941004FB1CFBB5E2E4100020811ADA00941805413ACC65E2E41005AA034CDA0094180494ADDCC5E2E41004A5868F2A00941003AFEE1CD5E2E4100C6782405A109418088F371CD5E2E4100E2850117A109418046B391CB5E2E4100F4C84E27A1094180BA8C53C85E2E410096AF6D35A1094100E37949BE5E2E410078E70A49A1094180EC1EDBB05E2E410002E2DD4EA1094100BFBC13A25E2E4100BED70246A1094101000000020000000001000000FFFFFFFF0000000003
94,Q015-SYNTURF-0004,Q015,Q-16,Forest Park - Baseball,Myrtle Avenue and Woodhaven Boulevard,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,QG-1005M,07/30/2007,False,Q,0xD7080000010413000000009D7B019D432F41003A3BEB7FCF0741807DA6D698432F4100841B757BCE074100F5BD3799432F4100C2417776CD0741800397249E432F4100DCE23672CC0741808FCF96A7432F4100BADBF76FCB0741006DFB82B5432F41003605FC70CA074100574CD7C7432F41001AD87F76C9074180F76A7DDE432F41001A19BB81C8074180406AD2DE432F4100984C7F7EC8074180C94C5973462F41007859E53CCE0741000B642FCC452F41009C150B8BD2074100CC7764D4452F410036F7B468D3074180B6FE82E4442F41001C4991EED30741009ADA30E3442F4100648BD689D307410059B9E3D0432F410054260430D40741802C167BB6432F410068498FCDD30741806361CBB6432F4100CEA1C986CF074180DAC7FDA9432F41009CD06083CF0741009D7B019D432F41003A3BEB7FCF074101000000020000000001000000FFFFFFFF0000000003
82,M165-SYNTURF-0033,M165,M-03,Baruch Playground,Stanton Street and Baruch Place,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,M165A-104M,10/24/2005,False,M,0xD7080000010407000000008DE84A773B2E4100BCF165CF8408418062D84CC93A2E4100C074DCBD7D08410016A850773C2E410064162E3A7B084180C988F50E3D2E4100827BFD1582084100ACA582FA3C2E4100E4DA37BA820841807259AF8B3B2E4100B8EBE4ED840841008DE84A773B2E4100BCF165CF84084101000000020000000001000000FFFFFFFF0000000003
151,M071-SYNTURF-0015,M071,M-14,Riverside Park - West 104th Street,Riverside Drive and West 104th Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,M071-403M,03/31/2006,False,M,0xD70800000104180000000011270EC1422E4100E8F5D9E43A0C41009AF05A98422E4100BC7DE5113A0C4100B8F2AE73422E41000E057033390C4100D1C4AB5B422E4100EA719C99380C4100EA413E46422E4100988FCBF9370C41805F447E33422E4100C614AE54370C4180BC894B32422E41007A16AE47370C410057F7AC31422E4100BC290C3A370C41804016A731422E41002020312C370C4180793C3A32422E410046CF871E370C4100F20B6233422E4100BCB07711370C418086721535422E41000A3A6605370C410005814737422E410094CCAEFA360C41002D6BE739422E4100980DA4F1360C410010B34EB5432E4100BE13F5EF330C41003FD44E48452E41008261B8E53F0C4180F6AB38E1432E410034A2B6F9420C410002CEC6B4432E4100BEDFD2D2420C410001CBEC83432E4100C23C1027410C41002A75EA63432E410042BFE6DD3F0C4180E599BA41432E410062A343983E0C41804B45631D432E41000A5E61563D0C41003F30EBF0422E410078FC9B193C0C410011270EC1422E4100E8F5D9E43A0C4101000000020000000001000000FFFFFFFF0000000003
118,Q410-SYNTURF-0037,Q410,Q-03,Hinton Park,34th Avenue and 113th Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,QG-1105M,10/05/2006,False,Q,0xD708000001042800000080C06FE548422F41007A2FD3B03A0A41006D59EF44422F41000EC0C5AA3A0A410058924B41422F41005E5610A23A0A4100F0A8163E422F41006CCFF6963A0A4180944E693B422F4100862CCF893A0A410096575839422F410036E3FE7A3A0A410032B9F337422F41003A85F96A3A0A418092334637422F410070B43A5A3A0A4180CC265537422F4100D01E44493A0A4180DE3C2038422F410056229A383A0A4180AEE8A039422F4100FAC0BD283A0A4180005E9303432F41002047A518320A4100F4104311432F4100C2F6FD25320A4180C4B2AA26432F4100E0B5F837310A4180232FE81B432F410002373718310A410035CBE129432F41002EB9EE84300A41807783954C432F4100FE9E3242300A41003935C672432F410092C9CB7D300A4100CAD92D73432F4100F44C91B8300A41805A183CB5432F410030860919310A41006FF494B7432F41008C305CF2300A4100818E90F3432F41001875AF53310A41802F46ACF1432F410090853A7F310A410001D73722442F4100F2CB62CD310A410071775D23442F4100F89AF2A8310A4100C4E386A7442F4100ACF6AD78320A4180D4AFECA3442F4100CAD722BB320A4180234A10B5442F41005817C4D1320A4180DEF7871D442F4100A88835CB380A41804BF0A8C2432F41007E40A7AA3C0A4100F502F09F432F41002C7119F03C0A4180FD68CB7C432F4100424153B93C0A41000434DB76432F41009E3B4B693C0A41003B44CA3D432F4100B2007D0B3C0A4180E0FEA634432F4100562F16283C0A4100F42CCEE4422F4100DABAA8A43B0A418017FBDFE5422F4100162BB4853B0A4100ECFB87B6422F41003A0C75383B0A410099E14FB2422F4100BE3A0E563B0A4180C06FE548422F41007A2FD3B03A0A4101000000020000000001000000FFFFFFFF0000000003
175,M039-SYNTURF-0012,M039,M-11,Harlem River Play Area,Harlem River Dr and 138th Street,Play Area,Infill,Unknown,false,DPR,NULL,DPR,NULL,Capital,M208-206M,06/28/2007,False,M,0xD7080000010405000000003DC3EA35982E4100DCE5D7C9CA0C4180984F1D50982E41000027F8C4CA0C41005EA1C656982E41008023F322CD0C41008084F63C982E410016BEC027CD0C41003DC3EA35982E4100DCE5D7C9CA0C4101000000020000000001000000FFFFFFFF0000000003
132,X030-SYNTURF-0004,X030,X-04,Macombs Dam Park,East 161th Street and Jerome Avenue,Field Group,Infill,Green,false,DPR,NULL,EDC,NULL,Unknown,NULL,05/15/2009,False,X,0xD708000001041300000000C35EA440A12E4100D4B5E897690D4100D6BF2106A22E410068DE4E42640D4180898F4B24A22E4100626AED73640D41005F57F140A22E4100A66F49B2640D4100ECBA0774A42E410026E302CE690D410012F93D90A42E410074B371346A0D410003D2DFECA32E4100CC656AA96E0D41807CCB46E6A32E4100CE824D9E6E0D4100AE686AE1A32E41001671F1BE6E0D410019FA5DE4A32E4100444531C56E0D41801078B1D7A32E4100EAE3DB206F0D41002F22DCDBA32E41009829AA2C6F0D41001F0B25CEA32E4100AEB9CD8B6F0D418007DBB6C1A32E4100F05ECA816F0D4180D0F8C4B5A32E41001E05C7706F0D41006D0C8EAAA32E41008E5D1C596F0D410075225E68A12E4100C0450E176A0D418005B75153A12E4100BA0269DD690D4100C35EA440A12E4100D4B5E897690D4101000000020000000001000000FFFFFFFF0000000003
49,B224-SYNTURF-0046,B224,B-03,P.O. Reinaldo Salgado Playground,Monroe Street and Patchen Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,B224-102M,10/07/2003,False,B,0xD708000001040500000080E2632C8DAA2E41001407B2262C0741000D0BBC50AA2E41004A9AB64132074100B3FAD7A3A82E4100428F4A3931074100E98089DDA82E4100EEE891202B074180E2632C8DAA2E41001407B2262C074101000000020000000001000000FFFFFFFF0000000003
106,Q121-SYNTURF-0023,Q121,Q-12,Detective Keith L Williams Park,173rd Street and 104th Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,QG-1005M,11/29/2005,False,Q,0xD708000001042800000000CD6E6B76DC2F41008653B866D30741800C3C6883DC2F4100527CC606D307410054168193DC2F41008807B1AED207410080BC6AA6DC2F41005E2B1360D20741803D7FCDBBDC2F41005615591CD2074100060025D7DC2F41004A637BD4D10741003AB4EBF4DC2F4100824D429ED10741801DDD6C14DD2F4100FA68F87AD1074180CC26E934DD2F4100ECB4726BD10741804C5C9B55DD2F4100C6EE0F70D10741809CF0BC75DD2F41001CDEB388D1074180CADD8A94DD2F4100A8ACC8B4D1074180032E4AB1DD2F4100629A43F3D1074100A32E4CCBDD2F41008E59A842D207410046F9F2E1DD2F4100E4D215A1D2074180D925B5F4DD2F4100B4894D0CD3074180A3A52003DE2F410030C0C581D3074180521FDE0CDE2F41008A37B4FED30741000147B211DE2F41004E042380D4074100D9AD6511DE2F4100DA9DA2FDD40741802709D30CDE2F41003A36CC79D5074100422F1004DE2F41007C2C4FF2D5074180CAF346F7DD2F4100E8ABEB64D6074100140BD5D4DC2F4100366E0B48DF0741801972C7C3DC2F41004E4F57A4DF074100DA05D0AFDC2F41002C1AC2F6DF074100B2254999DC2F41002C39D63DE00741802E1E9980DC2F41006C275178E007410000FA2F66DC2F4100EE7C29A5E0074100B1FEC0FFDB2F4100D05F822BDF0741003CCC7D0ADC2F410086BA54D4DE074100AFC78EEADB2F41004A85E092DE0741006021D0DDDB2F4100D8E36AEBDE074180E75C7A55DB2F410096B6777CDE0741004ECC464CDB2F4100B6F73B11DE074180D343C247DB2F4100AE824FA1DD074180F8050E48DB2F41001280F12FDD074100B5E3274DDB2F4100982C6BC0DC074100773CEA56DB2F4100C858FA55DC074100CD6E6B76DC2F41008653B866D3074101000000020000000001000000FFFFFFFF0000000003
